

Standort: Hechtliacker 15

[km/h]				 [m]
Dateformat: dd.mm.yy
022	15:30:58	26.05.16	2	2.4
017	15:32:11	26.05.16	2	3.6
026	15:33:03	26.05.16	2	4.1
019	15:33:19	26.05.16	2	4.5
043	15:43:28	26.05.16	2	4.5
033	15:43:55	26.05.16	2	4.4
030	15:43:59	26.05.16	2	4.0
030	15:54:46	26.05.16	2	4.0
023	15:58:25	26.05.16	2	3.9
037	15:59:45	26.05.16	2	5.5
042	16:00:19	26.05.16	2	4.6
026	16:02:25	26.05.16	2	8.1
026	16:07:36	26.05.16	2	5.8
033	16:10:24	26.05.16	2	7.6
029	16:11:51	26.05.16	2	4.4
033	16:15:17	26.05.16	2	5.1
031	16:16:02	26.05.16	2	6.5
028	16:16:05	26.05.16	2	12.6
024	16:19:02	26.05.16	2	5.1
031	16:20:21	26.05.16	2	4.5
043	16:21:50	26.05.16	2	6.0
035	16:24:53	26.05.16	2	4.3
027	16:30:31	26.05.16	2	6.2
038	16:31:30	26.05.16	2	4.8
043	16:31:34	26.05.16	2	4.5
032	16:32:45	26.05.16	2	4.2
039	16:36:01	26.05.16	2	5.1
031	16:36:04	26.05.16	2	1.3
029	16:36:52	26.05.16	2	4.0
028	16:52:04	26.05.16	2	4.3
033	16:53:22	26.05.16	2	4.3
029	16:55:18	26.05.16	2	4.5
032	17:01:29	26.05.16	2	1.5
038	17:07:35	26.05.16	2	3.9
032	17:07:55	26.05.16	2	5.1
024	17:08:16	26.05.16	2	0.9
023	17:08:18	26.05.16	2	2.7
030	17:08:23	26.05.16	2	4.5
034	17:11:22	26.05.16	2	4.2
026	17:12:30	26.05.16	2	4.3
029	17:12:58	26.05.16	2	5.5
032	17:20:47	26.05.16	2	1.3
032	17:23:39	26.05.16	2	4.7
036	17:31:10	26.05.16	2	4.9
040	17:34:49	26.05.16	2	1.1
042	17:34:49	26.05.16	2	2.6
041	17:35:44	26.05.16	2	0.7
025	17:37:12	26.05.16	2	4.9
037	17:37:39	26.05.16	2	3.0
035	17:38:22	26.05.16	2	4.9
034	17:38:38	26.05.16	2	1.0
034	17:39:20	26.05.16	2	4.2
029	17:41:44	26.05.16	2	1.1
038	17:44:30	26.05.16	2	1.2
035	17:49:14	26.05.16	2	6.4
034	17:49:18	26.05.16	2	4.8
038	18:00:00	26.05.16	2	3.4
035	18:02:58	26.05.16	2	0.8
041	18:05:41	26.05.16	2	3.8
030	18:06:56	26.05.16	2	4.7
033	18:09:35	26.05.16	2	4.1
030	18:09:40	26.05.16	2	3.2
030	18:10:29	26.05.16	2	4.9
034	18:12:03	26.05.16	2	4.2
032	18:14:07	26.05.16	2	7.2
045	18:14:15	26.05.16	2	1.1
027	18:15:59	26.05.16	2	4.1
037	18:17:29	26.05.16	2	4.5
035	18:18:58	26.05.16	2	4.8
034	18:19:22	26.05.16	2	4.6
040	18:19:48	26.05.16	2	4.3
030	18:19:51	26.05.16	2	4.4
028	18:21:15	26.05.16	2	3.9
033	18:24:16	26.05.16	2	3.2
046	18:25:01	26.05.16	2	3.8
033	18:27:01	26.05.16	2	4.4
025	18:29:57	26.05.16	2	3.8
027	18:35:19	26.05.16	2	3.7
034	18:36:07	26.05.16	2	4.7
042	18:36:35	26.05.16	2	1.6
033	18:37:51	26.05.16	2	0.6
032	18:41:20	26.05.16	2	4.3
018	18:41:48	26.05.16	2	3.2
049	18:44:16	26.05.16	2	1.0
032	18:49:06	26.05.16	2	4.0
030	18:50:45	26.05.16	2	4.4
040	18:53:26	26.05.16	2	1.0
033	18:54:53	26.05.16	2	3.1
032	18:58:08	26.05.16	2	3.6
025	18:58:46	26.05.16	2	0.9
027	19:00:03	26.05.16	2	0.9
031	19:02:28	26.05.16	2	0.9
028	19:07:31	26.05.16	2	4.4
042	19:07:37	26.05.16	2	5.7
031	19:11:35	26.05.16	2	4.7
028	19:16:30	26.05.16	2	3.8
026	19:17:42	26.05.16	2	6.9
034	19:23:08	26.05.16	2	2.9
033	19:24:08	26.05.16	2	4.2
026	19:25:22	26.05.16	2	3.2
033	19:26:45	26.05.16	2	1.3
038	19:27:16	26.05.16	2	1.2
033	19:28:06	26.05.16	2	3.5
029	19:31:15	26.05.16	2	3.9
025	19:32:49	26.05.16	2	3.8
037	19:39:33	26.05.16	2	4.0
035	19:41:38	26.05.16	2	4.8
038	19:42:35	26.05.16	2	4.4
035	19:47:54	26.05.16	2	1.1
042	19:56:45	26.05.16	2	3.2
037	19:56:59	26.05.16	2	4.6
035	19:59:26	26.05.16	2	3.1
041	20:05:03	26.05.16	2	3.2
041	20:09:32	26.05.16	2	4.1
024	20:15:46	26.05.16	2	4.8
027	20:23:22	26.05.16	2	4.0
036	20:24:38	26.05.16	2	1.0
038	20:34:20	26.05.16	2	4.1
021	20:38:24	26.05.16	2	4.1
034	20:39:07	26.05.16	2	1.2
025	20:40:11	26.05.16	2	4.1
037	20:41:52	26.05.16	2	4.0
031	20:47:51	26.05.16	2	3.4
040	20:49:14	26.05.16	2	3.9
027	20:50:19	26.05.16	2	4.2
011	20:55:39	26.05.16	2	4.4
024	21:05:57	26.05.16	2	4.2
026	21:10:42	26.05.16	2	0.9
032	21:15:07	26.05.16	2	3.8
029	21:15:25	26.05.16	2	3.8
039	21:21:09	26.05.16	2	0.8
026	21:25:15	26.05.16	2	4.0
032	21:26:39	26.05.16	2	2.7
007	21:26:55	26.05.16	2	1.7
027	21:35:11	26.05.16	2	1.1
026	21:45:08	26.05.16	2	3.6
019	21:46:37	26.05.16	2	4.3
031	21:53:32	26.05.16	2	3.6
020	21:59:51	26.05.16	2	3.8
027	22:19:09	26.05.16	2	3.7
027	22:22:20	26.05.16	2	4.4
026	22:23:00	26.05.16	2	3.1
028	22:23:29	26.05.16	2	3.6
023	22:24:54	26.05.16	2	0.9
034	22:31:08	26.05.16	2	4.2
027	22:31:45	26.05.16	2	0.8
031	22:36:55	26.05.16	2	3.7
031	22:46:04	26.05.16	2	4.5
020	22:50:36	26.05.16	2	3.6
023	23:11:27	26.05.16	2	3.2
019	23:13:09	26.05.16	2	3.0
032	23:27:53	26.05.16	2	4.8
034	23:34:44	26.05.16	2	3.4
029	23:37:24	26.05.16	2	1.5
037	00:24:56	27.05.16	2	3.4
028	00:46:13	27.05.16	2	4.4
029	01:21:01	27.05.16	2	3.2
039	04:13:27	27.05.16	2	4.7
039	04:25:11	27.05.16	2	4.4
022	04:36:13	27.05.16	2	3.6
021	05:55:35	27.05.16	2	4.6
036	06:14:44	27.05.16	2	5.4
032	06:22:02	27.05.16	2	4.6
034	06:22:37	27.05.16	2	1.1
044	06:25:19	27.05.16	2	1.0
034	06:26:45	27.05.16	2	3.1
043	06:27:08	27.05.16	2	1.1
031	06:34:24	27.05.16	2	3.3
036	06:37:44	27.05.16	2	4.2
043	06:39:27	27.05.16	2	1.9
031	06:43:54	27.05.16	2	3.2
030	06:49:16	27.05.16	2	1.7
045	06:51:43	27.05.16	2	4.7
039	06:51:58	27.05.16	2	1.6
039	06:53:33	27.05.16	2	4.1
045	06:57:47	27.05.16	2	4.3
033	07:06:47	27.05.16	2	6.7
028	07:07:35	27.05.16	2	0.9
032	07:08:09	27.05.16	2	4.1
026	07:10:28	27.05.16	2	4.8
028	07:11:41	27.05.16	2	4.8
036	07:11:49	27.05.16	2	1.1
032	07:15:10	27.05.16	2	3.2
027	07:17:01	27.05.16	2	3.7
037	07:18:18	27.05.16	2	4.5
027	07:24:31	27.05.16	2	4.9
040	07:26:46	27.05.16	2	1.2
045	07:26:47	27.05.16	2	1.8
041	07:27:59	27.05.16	2	4.0
041	07:28:29	27.05.16	2	1.0
042	07:31:18	27.05.16	2	1.2
036	07:32:19	27.05.16	2	0.6
037	07:32:19	27.05.16	2	1.9
034	07:39:27	27.05.16	2	5.1
044	07:40:44	27.05.16	2	4.2
041	07:40:47	27.05.16	2	5.6
037	07:41:29	27.05.16	2	4.4
035	07:41:36	27.05.16	2	0.5
040	07:42:54	27.05.16	2	0.6
035	07:42:59	27.05.16	2	4.9
045	07:44:02	27.05.16	2	1.3
026	07:46:38	27.05.16	2	4.6
033	07:46:43	27.05.16	2	6.7
026	07:49:11	27.05.16	2	6.0
031	07:50:02	27.05.16	2	1.3
033	07:50:25	27.05.16	2	3.9
031	07:51:15	27.05.16	2	4.6
036	07:51:43	27.05.16	2	4.0
049	07:51:58	27.05.16	2	4.4
036	07:53:31	27.05.16	2	5.0
041	07:53:32	27.05.16	2	1.1
032	07:55:34	27.05.16	2	4.7
033	07:59:28	27.05.16	2	1.7
043	08:02:23	27.05.16	2	5.7
044	08:03:17	27.05.16	2	1.4
044	08:03:43	27.05.16	2	6.0
031	08:04:11	27.05.16	2	1.9
039	08:07:02	27.05.16	2	1.1
038	08:12:42	27.05.16	2	1.0
033	08:17:12	27.05.16	2	4.9
032	08:19:14	27.05.16	2	1.3
027	08:20:23	27.05.16	2	2.2
030	08:21:45	27.05.16	2	7.5
032	08:21:49	27.05.16	2	4.9
032	08:24:15	27.05.16	2	7.7
029	08:26:37	27.05.16	2	5.3
042	08:27:34	27.05.16	2	2.6
017	08:28:45	27.05.16	2	1.6
035	08:29:53	27.05.16	2	6.2
032	08:32:52	27.05.16	2	5.3
049	08:34:53	27.05.16	2	1.2
041	08:39:05	27.05.16	2	1.3
051	08:39:19	27.05.16	2	3.9
026	08:40:00	27.05.16	2	4.4
034	08:40:33	27.05.16	2	4.5
043	08:41:23	27.05.16	2	4.9
031	08:43:33	27.05.16	2	1.1
026	08:45:22	27.05.16	2	19.1
016	08:48:13	27.05.16	2	5.9
036	08:52:17	27.05.16	2	4.0
034	08:52:28	27.05.16	2	4.7
039	08:54:33	27.05.16	2	1.0
026	08:58:24	27.05.16	2	4.3
029	09:01:14	27.05.16	2	12.9
032	09:02:40	27.05.16	2	4.2
036	09:02:42	27.05.16	2	4.8
044	09:06:35	27.05.16	2	4.7
023	09:08:22	27.05.16	2	1.0
038	09:09:07	27.05.16	2	5.6
034	09:12:31	27.05.16	2	2.7
041	09:16:30	27.05.16	2	3.7
034	09:23:18	27.05.16	2	4.9
045	09:24:47	27.05.16	2	0.9
037	09:25:55	27.05.16	2	5.2
035	09:27:01	27.05.16	2	4.9
032	09:27:29	27.05.16	2	1.0
038	09:30:52	27.05.16	2	4.7
036	09:31:24	27.05.16	2	4.6
033	09:32:46	27.05.16	2	1.8
035	09:36:52	27.05.16	2	3.9
033	09:38:58	27.05.16	2	1.0
038	09:39:16	27.05.16	2	4.6
030	09:42:05	27.05.16	2	13.3
046	09:42:55	27.05.16	2	4.6
019	09:44:01	27.05.16	2	2.5
048	09:50:20	27.05.16	2	4.1
044	09:58:42	27.05.16	2	5.0
027	10:02:55	27.05.16	2	3.4
029	10:04:20	27.05.16	2	6.6
025	10:05:22	27.05.16	2	0.8
027	10:05:34	27.05.16	2	0.7
030	10:06:14	27.05.16	2	3.7
036	10:07:38	27.05.16	2	5.1
027	10:13:05	27.05.16	2	6.2
034	10:16:14	27.05.16	2	5.4
042	10:18:24	27.05.16	2	5.9
032	10:20:05	27.05.16	2	5.1
036	10:21:45	27.05.16	2	5.3
035	10:21:46	27.05.16	2	6.5
031	10:25:06	27.05.16	2	4.8
033	10:27:30	27.05.16	2	4.5
037	10:30:25	27.05.16	2	4.6
042	10:36:12	27.05.16	2	4.0
037	10:37:45	27.05.16	2	3.8
037	10:38:34	27.05.16	2	1.8
038	10:39:27	27.05.16	2	6.1
043	10:43:28	27.05.16	2	4.1
032	10:45:51	27.05.16	2	0.8
031	10:45:52	27.05.16	2	4.0
035	10:45:58	27.05.16	2	4.9
030	10:47:36	27.05.16	2	5.9
040	10:48:14	27.05.16	2	5.5
020	10:54:57	27.05.16	2	3.7
025	10:55:00	27.05.16	2	1.7
027	10:57:03	27.05.16	2	3.9
038	10:58:43	27.05.16	2	5.1
012	10:59:09	27.05.16	2	2.5
032	11:03:58	27.05.16	2	1.1
025	11:04:10	27.05.16	2	2.6
021	11:05:26	27.05.16	2	1.6
027	11:12:23	27.05.16	2	5.3
039	11:12:33	27.05.16	2	6.4
036	11:12:40	27.05.16	2	7.1
030	11:12:52	27.05.16	2	1.2
042	11:13:03	27.05.16	2	0.8
040	11:17:14	27.05.16	2	10.5
031	11:18:27	27.05.16	2	4.9
033	11:22:44	27.05.16	2	5.0
036	11:23:27	27.05.16	2	4.4
041	11:23:49	27.05.16	2	4.0
029	11:30:04	27.05.16	2	5.0
036	11:30:38	27.05.16	2	4.1
038	11:31:39	27.05.16	2	5.6
036	11:32:00	27.05.16	2	4.1
045	11:36:25	27.05.16	2	6.0
034	11:37:02	27.05.16	2	5.0
039	11:38:10	27.05.16	2	7.4
037	11:38:12	27.05.16	2	5.5
032	11:39:54	27.05.16	2	4.2
033	11:42:58	27.05.16	2	0.7
036	11:46:02	27.05.16	2	4.3
031	11:46:10	27.05.16	2	3.7
029	11:47:31	27.05.16	2	6.9
028	11:48:07	27.05.16	2	4.8
035	11:53:46	27.05.16	2	5.1
020	11:55:36	27.05.16	2	1.6
033	12:00:25	27.05.16	2	4.1
040	12:01:24	27.05.16	2	1.3
042	12:02:00	27.05.16	2	4.9
037	12:03:38	27.05.16	2	4.3
037	12:05:32	27.05.16	2	4.8
033	12:13:39	27.05.16	2	3.7
031	12:16:35	27.05.16	2	10.6
029	12:17:26	27.05.16	2	5.8
030	12:17:28	27.05.16	2	5.1
035	12:17:54	27.05.16	2	4.7
035	12:18:27	27.05.16	2	3.3
043	12:19:35	27.05.16	2	7.6
041	12:21:49	27.05.16	2	4.5
022	12:24:27	27.05.16	2	2.1
020	12:30:32	27.05.16	2	4.9
034	12:33:51	27.05.16	2	4.4
037	12:38:26	27.05.16	2	7.2
038	12:41:00	27.05.16	2	4.4
045	12:44:04	27.05.16	2	4.5
041	12:45:07	27.05.16	2	1.1
038	12:46:52	27.05.16	2	3.8
050	12:49:34	27.05.16	2	3.9
036	12:50:46	27.05.16	2	5.0
038	12:51:20	27.05.16	2	4.9
044	12:52:00	27.05.16	2	1.1
034	12:54:04	27.05.16	2	3.7
031	12:56:30	27.05.16	2	4.7
038	13:02:43	27.05.16	2	4.1
039	13:06:09	27.05.16	2	4.8
045	13:07:14	27.05.16	2	3.4
043	13:12:41	27.05.16	2	4.4
032	13:13:35	27.05.16	2	4.5
043	13:13:42	27.05.16	2	4.0
034	13:17:03	27.05.16	2	1.7
032	13:20:05	27.05.16	2	1.2
029	13:26:47	27.05.16	2	0.8
031	13:28:29	27.05.16	2	1.9
032	13:31:00	27.05.16	2	7.2
024	13:33:32	27.05.16	2	4.8
038	13:35:24	27.05.16	2	6.2
025	13:36:59	27.05.16	2	12.9
023	13:37:01	27.05.16	2	4.8
034	13:37:47	27.05.16	2	5.1
034	13:39:37	27.05.16	2	6.7
030	13:39:45	27.05.16	2	3.6
037	13:41:43	27.05.16	2	6.3
035	13:43:14	27.05.16	2	1.7
038	13:44:12	27.05.16	2	5.8
031	13:45:53	27.05.16	2	4.9
