

Standort: Hegenheimerstras

[km/h]				 [m]
Dateformat: dd.mm.yy
042	13:38:20	30.10.15	2	6.4
047	13:38:29	30.10.15	2	5.0
038	13:38:44	30.10.15	2	8.5
044	13:39:24	30.10.15	2	7.9
042	13:39:26	30.10.15	2	8.1
039	13:39:29	30.10.15	2	6.7
035	13:39:33	30.10.15	2	6.8
033	13:39:35	30.10.15	2	8.7
029	13:39:38	30.10.15	2	1.1
026	13:39:40	30.10.15	2	7.1
040	13:39:53	30.10.15	2	6.9
038	13:40:01	30.10.15	2	2.2
036	13:40:14	30.10.15	2	3.7
029	13:40:17	30.10.15	2	7.6
045	13:40:30	30.10.15	2	2.6
041	13:40:39	30.10.15	2	7.0
038	13:40:45	30.10.15	2	6.3
037	13:41:05	30.10.15	2	9.0
047	13:41:17	30.10.15	2	6.9
045	13:41:18	30.10.15	2	6.2
043	13:41:20	30.10.15	2	7.5
037	13:41:29	30.10.15	2	12.2
047	13:41:38	30.10.15	2	8.1
051	13:41:58	30.10.15	2	6.8
038	13:42:10	30.10.15	2	16.6
053	13:42:22	30.10.15	2	6.4
052	13:42:26	30.10.15	2	18.9
051	13:42:30	30.10.15	2	7.0
047	13:42:32	30.10.15	2	7.7
048	13:42:35	30.10.15	2	8.9
050	13:42:54	30.10.15	2	8.5
057	13:43:07	30.10.15	2	6.7
033	13:43:17	30.10.15	2	3.3
036	13:43:20	30.10.15	2	13.3
052	13:43:35	30.10.15	2	6.4
047	13:43:43	30.10.15	2	7.4
033	13:43:49	30.10.15	2	8.0
033	13:43:52	30.10.15	2	2.3
046	13:44:02	30.10.15	2	5.6
042	13:44:05	30.10.15	2	0.7
042	13:44:07	30.10.15	2	3.7
044	13:44:25	30.10.15	2	8.0
039	13:45:01	30.10.15	2	21.5
041	13:45:04	30.10.15	2	15.7
036	13:45:21	30.10.15	2	7.4
042	13:45:27	30.10.15	2	7.9
037	13:45:29	30.10.15	2	10.3
056	13:45:34	30.10.15	2	6.2
057	13:45:37	30.10.15	2	7.4
058	13:45:38	30.10.15	2	8.4
050	13:45:43	30.10.15	2	7.9
044	13:45:59	30.10.15	2	7.2
043	13:46:01	30.10.15	2	7.3
038	13:46:06	30.10.15	2	19.5
041	13:46:07	30.10.15	2	8.3
035	13:46:15	30.10.15	2	8.7
039	13:46:17	30.10.15	2	8.2
034	13:46:18	30.10.15	2	2.2
039	13:46:21	30.10.15	2	7.2
033	13:46:37	30.10.15	2	16.1
033	13:46:38	30.10.15	2	9.6
033	13:46:42	30.10.15	2	8.2
033	13:46:44	30.10.15	2	1.3
030	13:46:51	30.10.15	2	25.5
027	13:46:56	30.10.15	2	23.8
042	13:47:30	30.10.15	2	4.6
046	13:47:31	30.10.15	2	7.5
043	13:47:35	30.10.15	2	17.8
039	13:47:37	30.10.15	2	6.6
038	13:47:39	30.10.15	2	6.6
038	13:47:46	30.10.15	2	7.5
036	13:47:50	30.10.15	2	8.6
035	13:47:51	30.10.15	2	5.4
038	13:47:52	30.10.15	2	1.5
045	13:48:05	30.10.15	2	8.2
046	13:48:06	30.10.15	2	7.6
047	13:48:09	30.10.15	2	9.1
043	13:48:15	30.10.15	2	8.1
028	13:48:19	30.10.15	2	8.7
040	13:48:25	30.10.15	2	8.2
042	13:48:26	30.10.15	2	9.2
039	13:48:28	30.10.15	2	6.6
042	13:48:30	30.10.15	2	7.4
041	13:48:31	30.10.15	2	5.5
037	13:48:34	30.10.15	2	6.5
038	13:48:36	30.10.15	2	6.9
039	13:48:38	30.10.15	2	8.1
048	13:48:42	30.10.15	2	6.9
024	13:48:45	30.10.15	2	8.4
051	13:48:47	30.10.15	2	6.7
049	13:48:49	30.10.15	2	7.7
061	13:48:58	30.10.15	2	6.8
048	13:49:23	30.10.15	2	14.1
045	13:49:25	30.10.15	2	6.2
050	13:49:26	30.10.15	2	7.1
045	13:49:30	30.10.15	2	7.6
043	13:49:35	30.10.15	2	2.4
040	13:49:36	30.10.15	2	3.3
037	13:49:40	30.10.15	2	7.3
036	13:49:41	30.10.15	2	3.2
043	13:50:10	30.10.15	2	7.9
047	13:50:12	30.10.15	2	5.9
040	13:50:19	30.10.15	2	13.7
038	13:50:22	30.10.15	2	15.6
053	13:50:34	30.10.15	2	10.9
033	13:51:18	30.10.15	2	6.4
034	13:51:26	30.10.15	2	6.5
034	13:51:31	30.10.15	2	2.9
038	13:51:35	30.10.15	2	8.9
034	13:51:42	30.10.15	2	10.6
045	13:51:55	30.10.15	2	1.9
041	13:52:32	30.10.15	2	7.6
042	13:52:35	30.10.15	2	4.1
050	13:52:38	30.10.15	2	6.6
038	13:52:43	30.10.15	2	8.3
038	13:52:45	30.10.15	2	7.1
034	13:52:48	30.10.15	2	5.3
045	13:53:07	30.10.15	2	6.7
042	13:53:13	30.10.15	2	10.8
046	13:53:18	30.10.15	2	2.6
044	13:53:19	30.10.15	2	5.8
042	13:53:24	30.10.15	2	5.9
039	13:53:26	30.10.15	2	6.2
045	13:53:53	30.10.15	2	7.6
042	13:53:55	30.10.15	2	4.6
044	13:53:57	30.10.15	2	4.4
042	13:53:59	30.10.15	2	9.3
042	13:54:00	30.10.15	2	8.6
040	13:54:04	30.10.15	2	6.8
041	13:54:06	30.10.15	2	6.4
036	13:54:11	30.10.15	2	6.9
048	13:54:22	30.10.15	2	2.5
044	13:54:46	30.10.15	2	5.6
049	13:54:59	30.10.15	2	5.9
043	13:55:19	30.10.15	2	6.4
048	13:55:41	30.10.15	2	6.9
039	13:55:54	30.10.15	2	7.1
035	13:56:03	30.10.15	2	9.5
037	13:56:06	30.10.15	2	7.7
039	13:56:07	30.10.15	2	7.2
040	13:56:09	30.10.15	2	8.4
040	13:56:11	30.10.15	2	7.4
037	13:56:15	30.10.15	2	6.8
051	13:56:52	30.10.15	2	10.7
051	13:56:55	30.10.15	2	7.3
048	13:57:09	30.10.15	2	2.0
044	13:57:14	30.10.15	2	10.0
058	13:58:34	30.10.15	2	9.1
037	13:58:48	30.10.15	2	12.7
041	13:58:51	30.10.15	2	6.8
039	13:58:53	30.10.15	2	8.5
046	13:58:59	30.10.15	2	5.1
044	13:59:09	30.10.15	2	7.6
040	13:59:12	30.10.15	2	8.3
040	13:59:14	30.10.15	2	8.5
040	13:59:16	30.10.15	2	6.6
039	13:59:20	30.10.15	2	15.3
034	13:59:23	30.10.15	2	8.3
027	13:59:52	30.10.15	2	12.9
026	13:59:54	30.10.15	2	2.2
028	13:59:56	30.10.15	2	6.6
034	13:59:58	30.10.15	2	3.0
032	14:00:01	30.10.15	2	6.9
032	14:00:03	30.10.15	2	1.4
035	14:00:10	30.10.15	2	6.8
053	14:00:26	30.10.15	2	7.5
046	14:00:46	30.10.15	2	12.3
052	14:00:54	30.10.15	2	8.3
049	14:01:05	30.10.15	2	6.0
016	14:01:08	30.10.15	2	3.0
052	14:01:17	30.10.15	2	2.2
047	14:01:28	30.10.15	2	6.1
048	14:01:47	30.10.15	2	7.2
048	14:01:53	30.10.15	2	9.3
044	14:02:15	30.10.15	2	25.5
052	14:02:22	30.10.15	2	6.8
050	14:02:24	30.10.15	2	8.5
046	14:02:30	30.10.15	2	8.3
045	14:02:51	30.10.15	2	8.9
042	14:02:58	30.10.15	2	6.5
056	14:03:08	30.10.15	2	4.2
056	14:03:10	30.10.15	2	7.2
048	14:03:16	30.10.15	2	3.5
047	14:03:20	30.10.15	2	6.5
039	14:03:23	30.10.15	2	7.9
040	14:03:26	30.10.15	2	9.3
044	14:03:30	30.10.15	2	6.9
049	14:04:09	30.10.15	2	8.1
053	14:04:11	30.10.15	2	9.2
047	14:04:14	30.10.15	2	9.3
049	14:04:17	30.10.15	2	9.0
017	14:04:21	30.10.15	2	1.3
038	14:04:54	30.10.15	2	0.6
040	14:04:57	30.10.15	2	6.6
042	14:05:21	30.10.15	2	7.7
043	14:05:23	30.10.15	2	7.6
037	14:06:03	30.10.15	2	5.9
042	14:06:43	30.10.15	2	8.1
043	14:06:44	30.10.15	2	6.5
043	14:06:47	30.10.15	2	8.4
040	14:06:50	30.10.15	2	6.8
050	14:06:58	30.10.15	2	6.0
057	14:07:18	30.10.15	2	7.6
022	14:07:32	30.10.15	2	19.6
027	14:07:41	30.10.15	2	8.8
050	14:08:03	30.10.15	2	7.0
055	14:08:20	30.10.15	2	8.3
046	14:08:26	30.10.15	2	6.8
046	14:08:28	30.10.15	2	7.1
045	14:08:31	30.10.15	2	5.9
057	14:08:33	30.10.15	2	3.5
050	14:08:57	30.10.15	2	8.6
052	14:09:00	30.10.15	2	6.0
051	14:09:02	30.10.15	2	6.8
051	14:09:13	30.10.15	2	4.8
052	14:09:26	30.10.15	2	17.9
049	14:09:28	30.10.15	2	6.4
047	14:09:33	30.10.15	2	12.8
041	14:10:01	30.10.15	2	8.8
041	14:10:04	30.10.15	2	7.1
044	14:10:08	30.10.15	2	6.2
040	14:10:18	30.10.15	2	7.4
043	14:10:35	30.10.15	2	8.6
044	14:10:38	30.10.15	2	6.6
022	14:10:49	30.10.15	2	7.0
034	14:10:52	30.10.15	2	2.5
040	14:11:13	30.10.15	2	7.0
049	14:11:16	30.10.15	2	6.9
054	14:11:18	30.10.15	2	2.4
050	14:11:19	30.10.15	2	2.1
040	14:11:55	30.10.15	2	6.8
039	14:11:58	30.10.15	2	7.5
039	14:12:00	30.10.15	2	8.3
040	14:13:09	30.10.15	2	23.1
040	14:13:12	30.10.15	2	8.7
040	14:13:15	30.10.15	2	7.5
040	14:13:25	30.10.15	2	25.5
038	14:13:41	30.10.15	2	0.5
044	14:13:43	30.10.15	2	8.0
042	14:13:44	30.10.15	2	8.0
040	14:13:47	30.10.15	2	8.1
019	14:14:16	30.10.15	2	2.6
032	14:14:17	30.10.15	2	2.2
038	14:14:31	30.10.15	2	8.3
037	14:14:33	30.10.15	2	7.0
034	14:14:35	30.10.15	2	3.6
033	14:14:38	30.10.15	2	13.4
038	14:14:41	30.10.15	2	7.6
033	14:14:48	30.10.15	2	6.8
037	14:14:50	30.10.15	2	17.5
037	14:14:59	30.10.15	2	18.5
039	14:15:00	30.10.15	2	9.7
037	14:15:04	30.10.15	2	8.1
037	14:15:06	30.10.15	2	7.4
034	14:15:08	30.10.15	2	7.9
029	14:15:11	30.10.15	2	7.3
027	14:15:12	30.10.15	2	5.9
020	14:15:21	30.10.15	2	17.9
023	14:15:24	30.10.15	2	2.8
033	14:15:49	30.10.15	2	15.5
032	14:15:53	30.10.15	2	8.0
033	14:15:54	30.10.15	2	7.9
031	14:15:56	30.10.15	2	0.9
029	14:15:59	30.10.15	2	3.9
013	14:16:09	30.10.15	2	4.0
020	14:16:19	30.10.15	2	10.7
020	14:16:23	30.10.15	2	6.5
029	14:16:48	30.10.15	2	24.4
043	14:17:57	30.10.15	2	8.3
046	14:18:01	30.10.15	2	6.0
047	14:18:25	30.10.15	2	6.0
047	14:18:28	30.10.15	2	10.3
044	14:18:31	30.10.15	2	8.4
042	14:18:43	30.10.15	2	7.7
043	14:18:52	30.10.15	2	6.7
042	14:18:53	30.10.15	2	7.4
043	14:18:55	30.10.15	2	7.7
051	14:19:33	30.10.15	2	8.7
050	14:19:35	30.10.15	2	7.9
042	14:20:05	30.10.15	2	19.8
039	14:20:07	30.10.15	2	8.0
023	14:20:48	30.10.15	2	2.5
050	14:20:51	30.10.15	2	7.1
047	14:20:54	30.10.15	2	8.2
051	14:20:56	30.10.15	2	7.7
052	14:21:33	30.10.15	2	5.6
057	14:21:51	30.10.15	2	7.6
043	14:21:55	30.10.15	2	4.0
048	14:22:28	30.10.15	2	7.3
028	14:22:38	30.10.15	2	3.3
051	14:22:49	30.10.15	2	4.7
