

Standort: Herbergsgasse

[km/h]				 [m]
Dateformat: dd.mm.yy
023	08:41:51	15.05.15	2	4.6
010	08:47:03	15.05.15	2	1.2
027	08:49:13	15.05.15	2	8.7
022	08:49:54	15.05.15	2	12.7
009	08:52:07	15.05.15	2	5.7
008	08:56:29	15.05.15	2	1.0
026	08:59:21	15.05.15	2	16.6
033	08:59:47	15.05.15	2	11.7
032	09:03:04	15.05.15	2	2.0
031	09:05:14	15.05.15	2	13.3
022	09:08:45	15.05.15	2	4.1
026	09:08:48	15.05.15	2	5.2
008	09:09:28	15.05.15	2	2.1
027	09:15:50	15.05.15	2	14.0
008	09:18:32	15.05.15	2	2.6
016	09:19:20	15.05.15	2	16.0
012	09:20:13	15.05.15	2	5.6
022	09:20:14	15.05.15	2	1.9
017	09:20:23	15.05.15	2	3.5
022	09:20:25	15.05.15	2	1.6
021	09:23:25	15.05.15	2	1.1
031	09:24:13	15.05.15	2	11.8
008	09:24:44	15.05.15	2	3.7
027	09:25:01	15.05.15	2	13.0
028	09:26:21	15.05.15	2	12.1
008	09:28:02	15.05.15	2	2.5
029	09:30:52	15.05.15	2	15.3
008	09:31:53	15.05.15	2	4.4
028	09:33:55	15.05.15	2	5.1
031	09:33:56	15.05.15	2	3.3
023	09:35:07	15.05.15	2	6.5
026	09:35:08	15.05.15	2	1.9
033	09:35:40	15.05.15	2	12.5
030	09:38:48	15.05.15	2	14.0
032	09:40:20	15.05.15	2	6.7
026	09:41:41	15.05.15	2	5.9
026	09:41:42	15.05.15	2	3.2
008	09:42:04	15.05.15	2	0.9
010	09:44:45	15.05.15	2	2.2
010	09:45:20	15.05.15	2	8.1
019	09:45:27	15.05.15	2	10.9
008	09:45:54	15.05.15	2	1.7
015	09:47:38	15.05.15	2	0.8
029	09:49:57	15.05.15	2	12.0
037	09:52:04	15.05.15	2	11.0
008	09:52:30	15.05.15	2	6.2
021	09:53:22	15.05.15	2	14.5
021	09:53:42	15.05.15	2	11.6
008	09:54:44	15.05.15	2	6.0
014	09:55:47	15.05.15	2	4.2
017	09:55:49	15.05.15	2	1.9
022	09:56:50	15.05.15	2	1.3
022	09:58:21	15.05.15	2	2.2
025	09:58:22	15.05.15	2	1.7
024	10:00:51	15.05.15	2	6.9
008	10:01:00	15.05.15	2	3.7
008	10:02:38	15.05.15	2	1.4
017	10:02:42	15.05.15	2	2.9
023	10:05:54	15.05.15	2	1.0
026	10:05:56	15.05.15	2	5.3
030	10:05:57	15.05.15	2	1.3
025	10:08:47	15.05.15	2	14.0
028	10:09:31	15.05.15	2	17.3
018	10:12:20	15.05.15	2	2.6
022	10:14:35	15.05.15	2	3.1
019	10:16:59	15.05.15	2	0.5
023	10:17:34	15.05.15	2	2.0
015	10:17:55	15.05.15	2	0.6
018	10:20:49	15.05.15	2	3.3
012	10:23:51	15.05.15	2	0.6
017	10:24:39	15.05.15	2	3.6
023	10:26:06	15.05.15	2	1.1
015	10:27:22	15.05.15	2	2.4
019	10:27:31	15.05.15	2	12.4
014	10:28:56	15.05.15	2	2.2
014	10:29:06	15.05.15	2	1.4
007	10:29:52	15.05.15	2	1.2
023	10:30:26	15.05.15	2	8.3
014	10:32:23	15.05.15	2	2.4
006	10:32:47	15.05.15	2	1.2
021	10:33:21	15.05.15	2	1.0
008	10:34:18	15.05.15	2	0.6
009	10:34:31	15.05.15	2	1.8
017	10:35:44	15.05.15	2	3.6
009	10:36:33	15.05.15	2	0.7
022	10:38:31	15.05.15	2	3.4
020	10:39:30	15.05.15	2	4.1
021	10:39:31	15.05.15	2	1.3
013	10:39:39	15.05.15	2	0.7
012	10:40:04	15.05.15	2	1.5
007	10:40:32	15.05.15	2	0.5
008	10:44:42	15.05.15	2	2.8
017	10:45:18	15.05.15	2	3.3
007	10:47:11	15.05.15	2	2.2
007	10:47:31	15.05.15	2	0.7
006	10:51:26	15.05.15	2	1.3
009	10:51:34	15.05.15	2	0.5
