

Standort: Heuberg 28

[km/h]				 [m]
Dateformat: dd.mm.yy
006	10:32:05	10.02.15	1	1.8
014	10:33:16	10.02.15	1	3.9
009	10:38:33	10.02.15	1	5.7
013	10:39:25	10.02.15	1	12.1
009	10:39:39	10.02.15	1	4.0
007	10:39:41	10.02.15	1	3.0
011	10:40:41	10.02.15	1	7.3
006	10:41:59	10.02.15	1	1.8
004	10:42:08	10.02.15	1	1.8
012	10:44:50	10.02.15	1	2.9
012	10:44:50	10.02.15	1	2.0
015	10:44:53	10.02.15	1	13.5
015	10:44:54	10.02.15	1	3.7
016	10:44:55	10.02.15	1	4.3
017	10:44:57	10.02.15	1	7.6
015	10:44:58	10.02.15	1	4.7
013	10:44:59	10.02.15	1	2.5
007	10:45:08	10.02.15	1	1.8
006	10:51:46	10.02.15	1	2.9
015	10:52:03	10.02.15	1	7.0
027	10:52:38	10.02.15	1	3.6
028	10:52:39	10.02.15	1	1.8
029	10:52:39	10.02.15	1	5.6
027	10:52:39	10.02.15	1	1.7
026	10:52:40	10.02.15	1	3.8
022	10:52:43	10.02.15	1	12.6
021	10:52:44	10.02.15	1	3.2
021	10:52:44	10.02.15	1	2.4
022	10:52:45	10.02.15	1	1.7
023	10:52:45	10.02.15	1	2.4
024	10:52:46	10.02.15	1	3.1
022	10:52:49	10.02.15	1	2.1
021	10:52:50	10.02.15	1	9.6
011	10:52:55	10.02.15	1	6.2
014	10:52:58	10.02.15	1	5.4
007	10:53:04	10.02.15	1	2.8
005	10:53:18	10.02.15	1	1.7
019	10:56:23	10.02.15	1	3.0
003	10:56:54	10.02.15	1	2.3
016	10:57:04	10.02.15	1	2.2
006	10:59:24	10.02.15	1	1.8
007	10:59:25	10.02.15	1	2.1
007	10:59:27	10.02.15	1	2.2
006	11:01:11	10.02.15	1	2.2
005	11:04:06	10.02.15	1	2.8
019	11:04:58	10.02.15	1	6.0
015	11:05:46	10.02.15	1	7.1
018	11:08:16	10.02.15	1	3.2
005	11:09:14	10.02.15	1	2.6
006	11:09:47	10.02.15	1	2.6
007	11:13:37	10.02.15	1	1.9
006	11:19:02	10.02.15	1	2.4
007	11:22:55	10.02.15	1	1.9
009	11:24:21	10.02.15	1	2.5
014	11:24:41	10.02.15	1	8.1
015	11:25:56	10.02.15	1	6.7
006	11:28:03	10.02.15	1	2.8
005	11:31:19	10.02.15	1	2.6
006	11:31:52	10.02.15	1	4.2
017	11:33:46	10.02.15	1	5.9
007	11:36:03	10.02.15	1	1.6
007	11:36:06	10.02.15	1	2.1
007	11:36:08	10.02.15	1	2.0
006	11:37:57	10.02.15	1	4.0
006	11:39:21	10.02.15	1	2.5
029	11:39:32	10.02.15	1	1.7
026	11:39:35	10.02.15	1	3.4
026	11:39:35	10.02.15	1	1.9
030	11:39:36	10.02.15	1	3.4
031	11:39:36	10.02.15	1	1.6
032	11:39:37	10.02.15	1	4.7
032	11:39:37	10.02.15	1	2.8
030	11:39:38	10.02.15	1	2.3
031	11:39:38	10.02.15	1	2.4
030	11:39:39	10.02.15	1	6.5
029	11:39:39	10.02.15	1	3.9
027	11:39:40	10.02.15	1	3.8
012	11:39:40	10.02.15	1	1.6
024	11:39:44	10.02.15	1	7.2
005	11:43:08	10.02.15	1	4.3
006	11:43:14	10.02.15	1	1.9
021	11:44:11	10.02.15	1	9.0
009	11:45:49	10.02.15	1	2.5
003	11:46:30	10.02.15	1	1.8
007	11:47:17	10.02.15	1	3.3
007	11:48:00	10.02.15	1	5.6
014	11:48:20	10.02.15	1	5.3
014	11:48:21	10.02.15	1	1.6
014	11:48:22	10.02.15	1	2.7
014	11:48:22	10.02.15	1	1.6
007	11:48:56	10.02.15	1	2.7
010	11:51:52	10.02.15	1	1.7
014	11:54:50	10.02.15	1	5.6
005	11:56:40	10.02.15	1	2.5
007	11:56:42	10.02.15	1	2.7
005	12:01:15	10.02.15	1	1.9
008	12:04:16	10.02.15	1	1.9
009	12:04:20	10.02.15	1	9.2
005	12:04:46	10.02.15	1	1.6
007	12:06:41	10.02.15	1	3.8
022	12:07:43	10.02.15	1	2.9
014	12:08:24	10.02.15	1	6.6
012	12:08:25	10.02.15	1	1.9
004	12:09:07	10.02.15	1	2.2
020	12:09:18	10.02.15	1	3.0
006	12:09:23	10.02.15	1	2.2
013	12:09:32	10.02.15	1	9.0
016	12:09:33	10.02.15	1	5.6
017	12:09:35	10.02.15	1	4.4
016	12:09:35	10.02.15	1	1.9
016	12:09:35	10.02.15	1	1.8
017	12:09:37	10.02.15	1	8.3
016	12:09:38	10.02.15	1	5.6
014	12:09:43	10.02.15	1	6.7
015	12:09:44	10.02.15	1	4.1
007	12:11:26	10.02.15	1	2.5
006	12:11:33	10.02.15	1	2.4
005	12:11:55	10.02.15	1	1.9
005	12:12:07	10.02.15	1	4.9
018	12:12:18	10.02.15	1	4.1
018	12:13:10	10.02.15	1	3.5
020	12:15:05	10.02.15	1	2.7
020	12:17:30	10.02.15	1	6.1
005	12:18:19	10.02.15	1	1.9
019	12:18:54	10.02.15	1	6.0
008	12:19:18	10.02.15	1	1.6
022	12:19:30	10.02.15	1	2.3
020	12:19:51	10.02.15	1	13.2
005	12:27:42	10.02.15	1	2.5
018	12:27:46	10.02.15	1	8.8
004	12:27:52	10.02.15	1	1.7
021	12:28:09	10.02.15	1	2.9
013	12:28:20	10.02.15	1	6.0
007	12:28:45	10.02.15	1	2.6
006	12:28:46	10.02.15	1	2.5
007	12:28:55	10.02.15	1	13.4
019	12:29:05	10.02.15	1	1.7
020	12:29:06	10.02.15	1	2.8
020	12:29:06	10.02.15	1	2.9
022	12:29:06	10.02.15	1	1.8
022	12:29:07	10.02.15	1	1.8
022	12:29:07	10.02.15	1	1.6
022	12:29:07	10.02.15	1	2.3
