

Standort: In den Schorenma

[km/h]				 [m]
Dateformat: dd.mm.yy
009	11:08:40	12.06.15	2	3.2
025	11:15:22	12.06.15	2	8.9
026	11:15:23	12.06.15	2	1.8
027	11:21:17	12.06.15	2	14.2
012	11:25:50	12.06.15	2	3.0
019	11:29:23	12.06.15	2	8.3
005	11:31:52	12.06.15	2	1.8
018	11:35:33	12.06.15	2	4.8
012	11:40:41	12.06.15	2	4.9
016	11:41:34	12.06.15	2	9.3
015	11:48:48	12.06.15	2	6.5
012	11:51:40	12.06.15	2	2.9
008	11:52:01	12.06.15	2	6.1
025	12:08:31	12.06.15	2	8.9
019	12:09:21	12.06.15	2	4.7
027	12:13:31	12.06.15	2	8.1
031	12:13:31	12.06.15	2	1.8
019	12:18:59	12.06.15	2	8.1
023	12:18:59	12.06.15	2	1.7
016	12:22:44	12.06.15	2	4.3
024	12:25:23	12.06.15	2	9.5
013	12:35:24	12.06.15	2	4.9
008	12:39:40	12.06.15	2	2.4
008	12:58:37	12.06.15	2	3.2
014	13:06:44	12.06.15	2	8.1
009	13:21:22	12.06.15	2	2.8
008	13:27:23	12.06.15	2	4.6
019	13:27:59	12.06.15	2	8.4
006	13:41:48	12.06.15	2	1.8
013	13:51:47	12.06.15	2	7.2
016	13:51:59	12.06.15	2	4.6
007	13:54:27	12.06.15	2	2.9
007	13:54:31	12.06.15	2	3.0
005	13:56:36	12.06.15	2	2.0
005	13:57:57	12.06.15	2	1.8
008	14:03:27	12.06.15	2	3.3
009	14:06:39	12.06.15	2	3.9
004	14:07:07	12.06.15	2	1.6
017	14:09:38	12.06.15	2	4.2
007	14:15:14	12.06.15	2	2.6
008	14:15:26	12.06.15	2	4.7
007	14:15:27	12.06.15	2	2.4
007	14:15:28	12.06.15	2	2.1
008	14:18:26	12.06.15	2	3.0
007	14:18:38	12.06.15	2	2.9
006	14:18:48	12.06.15	2	2.8
013	14:19:17	12.06.15	2	9.8
011	14:19:22	12.06.15	2	2.1
008	14:22:21	12.06.15	2	4.1
008	14:22:43	12.06.15	2	3.6
007	14:22:47	12.06.15	2	4.2
017	14:24:48	12.06.15	2	10.3
017	14:24:49	12.06.15	2	1.9
007	14:26:47	12.06.15	2	3.6
018	14:27:16	12.06.15	2	9.4
007	14:28:43	12.06.15	2	1.7
004	14:30:04	12.06.15	2	1.6
008	14:38:16	12.06.15	2	4.2
023	14:39:40	12.06.15	2	10.9
011	14:51:59	12.06.15	2	4.2
008	14:52:44	12.06.15	2	3.5
014	14:56:17	12.06.15	2	4.6
019	14:57:29	12.06.15	2	4.8
011	14:59:52	12.06.15	2	3.6
004	15:00:35	12.06.15	2	1.9
008	15:01:55	12.06.15	2	1.7
015	15:06:45	12.06.15	2	3.8
005	15:27:08	12.06.15	2	2.8
029	15:33:09	12.06.15	2	8.9
033	15:33:09	12.06.15	2	2.3
019	15:39:47	12.06.15	2	2.9
016	15:39:48	12.06.15	2	2.9
026	15:45:04	12.06.15	2	7.9
030	15:45:04	12.06.15	2	2.4
023	15:54:26	12.06.15	2	8.6
026	15:54:32	12.06.15	2	10.1
018	15:58:02	12.06.15	2	4.9
007	15:58:17	12.06.15	2	2.9
008	15:58:24	12.06.15	2	2.5
007	15:58:28	12.06.15	2	2.3
026	15:58:42	12.06.15	2	7.2
018	15:58:43	12.06.15	2	4.5
017	15:58:44	12.06.15	2	2.2
017	15:58:46	12.06.15	2	6.1
018	15:58:49	12.06.15	2	5.0
023	15:58:50	12.06.15	2	2.8
020	15:58:50	12.06.15	2	3.7
021	15:58:54	12.06.15	2	12.2
019	15:58:55	12.06.15	2	2.7
022	15:58:58	12.06.15	2	12.6
015	15:59:04	12.06.15	2	13.2
020	15:59:06	12.06.15	2	12.4
018	15:59:13	12.06.15	2	25.5
007	15:59:14	12.06.15	2	3.3
005	15:59:16	12.06.15	2	1.9
023	15:59:18	12.06.15	2	13.2
022	15:59:20	12.06.15	2	8.8
008	15:59:23	12.06.15	2	4.0
023	15:59:27	12.06.15	2	23.8
028	15:59:28	12.06.15	2	3.7
027	15:59:29	12.06.15	2	4.4
024	15:59:33	12.06.15	2	16.2
006	15:59:35	12.06.15	2	1.7
009	15:59:39	12.06.15	2	4.1
007	15:59:52	12.06.15	2	1.9
007	15:59:55	12.06.15	2	2.4
012	15:59:58	12.06.15	2	3.2
021	16:00:07	12.06.15	2	19.3
021	16:00:19	12.06.15	2	25.5
018	16:00:30	12.06.15	2	25.5
015	16:00:43	12.06.15	2	25.5
018	16:00:55	12.06.15	2	25.5
020	16:01:07	12.06.15	2	25.5
026	16:19:07	12.06.15	2	3.0
019	16:30:19	12.06.15	2	3.4
018	16:44:46	12.06.15	2	6.7
027	16:53:39	12.06.15	2	3.5
023	17:15:53	12.06.15	2	7.5
013	17:16:03	12.06.15	2	3.4
008	17:17:42	12.06.15	2	2.7
016	17:18:03	12.06.15	2	6.2
013	17:19:37	12.06.15	2	3.5
017	17:25:59	12.06.15	2	2.3
006	17:26:22	12.06.15	2	1.8
017	17:31:37	12.06.15	2	6.9
014	17:33:05	12.06.15	2	7.0
014	17:35:44	12.06.15	2	4.7
017	17:36:51	12.06.15	2	4.0
014	17:50:53	12.06.15	2	2.8
025	17:52:27	12.06.15	2	8.3
012	18:04:44	12.06.15	2	2.5
011	18:04:46	12.06.15	2	3.4
011	18:04:48	12.06.15	2	1.8
008	18:04:49	12.06.15	2	2.0
013	18:04:52	12.06.15	2	2.9
021	18:08:04	12.06.15	2	7.4
006	18:13:26	12.06.15	2	1.9
013	18:17:26	12.06.15	2	3.5
007	18:18:38	12.06.15	2	2.3
021	18:23:26	12.06.15	2	7.1
005	18:26:16	12.06.15	2	1.8
014	18:28:44	12.06.15	2	6.7
018	18:30:42	12.06.15	2	7.8
023	18:44:16	12.06.15	2	8.0
019	18:46:22	12.06.15	2	3.2
019	18:46:32	12.06.15	2	3.4
014	18:46:41	12.06.15	2	2.9
013	18:49:51	12.06.15	2	3.7
014	18:49:52	12.06.15	2	4.0
015	19:01:39	12.06.15	2	6.9
018	19:02:24	12.06.15	2	3.9
017	19:07:23	12.06.15	2	6.8
017	19:12:31	12.06.15	2	1.6
016	19:14:38	12.06.15	2	2.8
012	19:34:44	12.06.15	2	2.8
012	19:36:00	12.06.15	2	2.8
021	20:00:18	12.06.15	2	8.0
005	20:02:51	12.06.15	2	1.6
015	20:17:05	12.06.15	2	7.1
009	20:18:42	12.06.15	2	2.0
006	20:18:44	12.06.15	2	3.0
017	20:18:50	12.06.15	2	4.1
021	20:19:33	12.06.15	2	6.6
005	20:19:37	12.06.15	2	1.8
016	20:20:18	12.06.15	2	2.6
020	20:22:23	12.06.15	2	4.0
024	20:27:33	12.06.15	2	8.8
017	20:38:26	12.06.15	2	7.9
015	20:54:52	12.06.15	2	3.4
015	20:59:53	12.06.15	2	6.7
009	21:13:48	12.06.15	2	2.5
011	21:37:35	12.06.15	2	4.9
006	21:40:02	12.06.15	2	2.0
006	21:46:06	12.06.15	2	3.7
020	21:47:57	12.06.15	2	6.7
013	21:48:02	12.06.15	2	10.4
007	21:48:03	12.06.15	2	1.7
014	21:53:14	12.06.15	2	6.7
019	22:13:01	12.06.15	2	7.7
022	22:27:01	12.06.15	2	8.1
014	23:19:50	12.06.15	2	3.4
011	23:19:53	12.06.15	2	2.6
023	23:23:15	12.06.15	2	6.9
025	00:03:37	13.06.15	2	7.2
023	00:05:08	13.06.15	2	7.9
024	00:26:26	13.06.15	2	7.0
014	01:39:33	13.06.15	2	5.7
020	03:54:55	13.06.15	2	6.9
021	04:29:14	13.06.15	2	7.9
024	04:53:30	13.06.15	2	4.0
027	05:11:25	13.06.15	2	5.9
006	05:47:33	13.06.15	2	1.8
007	05:57:31	13.06.15	2	1.6
027	06:33:50	13.06.15	2	7.0
022	06:35:27	13.06.15	2	7.0
017	07:27:40	13.06.15	2	3.5
013	07:56:33	13.06.15	2	6.6
021	08:43:40	13.06.15	2	4.4
026	08:55:26	13.06.15	2	4.4
010	09:11:55	13.06.15	2	1.9
024	09:13:57	13.06.15	2	4.5
021	09:38:13	13.06.15	2	7.3
019	09:40:42	13.06.15	2	3.0
016	09:43:55	13.06.15	2	7.7
015	09:47:06	13.06.15	2	3.8
006	09:53:40	13.06.15	2	2.1
017	10:01:00	13.06.15	2	3.4
019	10:11:23	13.06.15	2	6.2
010	10:12:06	13.06.15	2	2.1
025	10:33:01	13.06.15	2	6.7
018	10:33:50	13.06.15	2	10.0
021	10:33:58	13.06.15	2	7.6
017	10:40:57	13.06.15	2	3.6
006	10:41:00	13.06.15	2	3.0
031	10:43:58	13.06.15	2	7.2
007	10:57:44	13.06.15	2	2.5
008	11:35:39	13.06.15	2	1.7
008	11:39:26	13.06.15	2	1.7
006	11:40:33	13.06.15	2	2.0
022	11:48:42	13.06.15	2	6.8
017	12:16:27	13.06.15	2	10.9
026	12:24:51	13.06.15	2	7.1
012	12:30:22	13.06.15	2	5.6
018	12:40:07	13.06.15	2	4.0
027	12:48:26	13.06.15	2	4.5
021	13:22:41	13.06.15	2	6.8
014	13:27:59	13.06.15	2	3.8
016	13:28:00	13.06.15	2	3.4
016	13:28:55	13.06.15	2	7.7
023	13:38:36	13.06.15	2	6.9
009	13:40:43	13.06.15	2	1.9
008	13:54:02	13.06.15	2	1.9
027	13:56:11	13.06.15	2	6.8
014	14:00:35	13.06.15	2	3.2
017	14:00:37	13.06.15	2	4.0
010	14:05:36	13.06.15	2	2.2
019	14:10:41	13.06.15	2	7.4
023	14:11:36	13.06.15	2	6.5
017	14:12:25	13.06.15	2	8.4
018	14:13:22	13.06.15	2	5.8
009	14:13:27	13.06.15	2	2.4
006	14:13:35	13.06.15	2	1.9
005	14:13:36	13.06.15	2	2.1
015	14:17:23	13.06.15	2	3.3
011	14:17:41	13.06.15	2	5.1
018	14:19:55	13.06.15	2	7.0
014	14:21:59	13.06.15	2	3.0
019	14:24:05	13.06.15	2	3.4
021	14:24:09	13.06.15	2	2.4
006	14:27:41	13.06.15	2	1.9
014	14:39:36	13.06.15	2	8.7
014	14:42:28	13.06.15	2	2.9
015	14:45:34	13.06.15	2	3.4
007	14:47:05	13.06.15	2	1.6
007	14:47:06	13.06.15	2	1.6
014	14:49:19	13.06.15	2	4.3
026	14:56:43	13.06.15	2	3.5
019	14:58:31	13.06.15	2	6.5
024	15:11:52	13.06.15	2	8.0
009	15:13:38	13.06.15	2	1.8
013	15:17:12	13.06.15	2	3.3
010	15:20:45	13.06.15	2	2.4
026	15:24:24	13.06.15	2	9.1
022	15:36:13	13.06.15	2	6.9
019	15:36:34	13.06.15	2	5.8
008	15:38:40	13.06.15	2	2.4
021	15:41:25	13.06.15	2	6.4
018	15:42:29	13.06.15	2	7.1
016	15:51:40	13.06.15	2	3.4
012	15:52:17	13.06.15	2	3.0
010	15:52:19	13.06.15	2	2.2
014	15:52:20	13.06.15	2	2.9
008	15:57:13	13.06.15	2	3.1
007	16:04:46	13.06.15	2	2.3
009	16:09:22	13.06.15	2	4.5
027	16:14:03	13.06.15	2	8.5
024	16:15:28	13.06.15	2	6.8
006	16:26:11	13.06.15	2	2.3
022	16:29:31	13.06.15	2	3.5
022	16:30:19	13.06.15	2	7.7
018	16:37:32	13.06.15	2	7.5
011	16:39:42	13.06.15	2	2.9
010	16:39:44	13.06.15	2	2.7
010	16:39:45	13.06.15	2	2.2
012	16:42:47	13.06.15	2	5.5
010	16:42:48	13.06.15	2	2.0
013	16:42:51	13.06.15	2	3.6
010	16:43:47	13.06.15	2	6.5
011	16:48:07	13.06.15	2	2.0
008	16:52:26	13.06.15	2	2.7
022	17:01:42	13.06.15	2	3.3
009	17:13:04	13.06.15	2	2.5
010	17:21:07	13.06.15	2	2.9
007	17:24:59	13.06.15	2	2.1
016	17:31:44	13.06.15	2	2.3
012	17:31:55	13.06.15	2	1.6
013	17:31:55	13.06.15	2	1.6
016	17:42:40	13.06.15	2	4.1
034	17:45:28	13.06.15	2	4.3
022	17:46:13	13.06.15	2	7.8
012	18:04:30	13.06.15	2	2.2
010	18:05:20	13.06.15	2	2.2
012	18:12:53	13.06.15	2	7.0
026	18:15:20	13.06.15	2	6.8
010	18:19:44	13.06.15	2	2.8
008	18:19:49	13.06.15	2	3.2
008	18:19:53	13.06.15	2	3.4
009	18:19:57	13.06.15	2	3.5
008	18:20:01	13.06.15	2	1.6
009	18:20:02	13.06.15	2	1.6
010	18:20:07	13.06.15	2	3.6
011	18:20:11	13.06.15	2	2.9
021	18:22:10	13.06.15	2	7.2
008	18:41:25	13.06.15	2	1.8
024	18:41:35	13.06.15	2	7.4
016	18:44:36	13.06.15	2	4.2
019	18:45:03	13.06.15	2	6.8
022	18:46:18	13.06.15	2	3.9
024	18:59:05	13.06.15	2	7.4
008	19:01:06	13.06.15	2	2.2
015	19:04:23	13.06.15	2	2.8
015	19:04:24	13.06.15	2	3.2
011	19:04:48	13.06.15	2	1.9
018	19:06:55	13.06.15	2	3.0
011	19:08:49	13.06.15	2	2.4
011	19:11:33	13.06.15	2	4.2
013	19:13:11	13.06.15	2	3.0
016	19:13:37	13.06.15	2	2.7
010	19:15:34	13.06.15	2	2.8
012	19:19:15	13.06.15	2	1.8
019	19:42:58	13.06.15	2	5.7
010	19:47:19	13.06.15	2	3.8
010	19:47:20	13.06.15	2	6.0
025	19:48:32	13.06.15	2	3.8
017	19:49:42	13.06.15	2	3.2
012	20:10:27	13.06.15	2	2.4
021	20:14:12	13.06.15	2	6.7
028	20:22:08	13.06.15	2	6.4
012	20:29:29	13.06.15	2	6.5
025	21:12:27	13.06.15	2	6.4
019	21:14:33	13.06.15	2	6.7
022	21:20:57	13.06.15	2	6.7
009	22:01:41	13.06.15	2	3.4
027	22:31:20	13.06.15	2	1.6
050	22:32:20	13.06.15	2	2.2
050	22:32:20	13.06.15	2	2.6
050	22:32:20	13.06.15	2	2.3
050	22:32:21	13.06.15	2	1.6
016	22:32:51	13.06.15	2	3.0
016	22:32:51	13.06.15	2	2.1
026	22:32:53	13.06.15	2	2.4
027	22:32:53	13.06.15	2	2.0
029	22:32:53	13.06.15	2	1.8
031	22:32:55	13.06.15	2	2.6
030	22:32:55	13.06.15	2	1.9
041	00:00:36	14.06.15	2	2.2
014	00:47:33	14.06.15	2	2.0
039	06:01:07	14.06.15	2	1.6
019	09:36:48	14.06.15	2	2.1
020	09:36:48	14.06.15	2	1.6
029	09:38:18	14.06.15	2	2.1
029	09:38:19	14.06.15	2	4.1
028	09:38:19	14.06.15	2	2.1
007	09:56:18	14.06.15	2	1.8
012	09:56:19	14.06.15	2	5.1
008	10:00:27	14.06.15	2	6.7
007	10:00:28	14.06.15	2	2.7
007	10:00:29	14.06.15	2	1.6
009	10:03:49	14.06.15	2	2.3
010	10:05:43	14.06.15	2	10.6
034	10:20:39	14.06.15	2	3.0
034	10:20:39	14.06.15	2	2.3
034	10:20:40	14.06.15	2	2.6
033	10:20:41	14.06.15	2	3.9
033	10:20:41	14.06.15	2	1.6
024	10:35:33	14.06.15	2	2.1
025	10:35:34	14.06.15	2	2.2
025	10:35:34	14.06.15	2	2.9
025	10:35:35	14.06.15	2	2.1
025	10:35:36	14.06.15	2	2.4
024	10:48:33	14.06.15	2	1.7
022	10:48:34	14.06.15	2	7.4
016	10:48:35	14.06.15	2	2.1
014	10:48:35	14.06.15	2	2.7
013	10:48:35	14.06.15	2	1.6
012	10:48:36	14.06.15	2	1.7
017	10:48:47	14.06.15	2	1.9
020	10:48:48	14.06.15	2	2.1
022	10:48:48	14.06.15	2	2.3
022	10:48:48	14.06.15	2	2.4
022	10:48:49	14.06.15	2	1.6
021	10:48:49	14.06.15	2	2.2
021	10:48:50	14.06.15	2	2.0
021	10:48:50	14.06.15	2	1.7
021	10:48:51	14.06.15	2	1.9
022	10:48:51	14.06.15	2	1.6
013	10:48:55	14.06.15	2	1.8
007	11:57:20	14.06.15	2	6.0
007	12:20:00	14.06.15	2	3.8
008	12:20:04	14.06.15	2	2.4
016	12:25:01	14.06.15	2	1.8
008	12:44:07	14.06.15	2	10.4
008	12:44:09	14.06.15	2	1.6
028	13:06:37	14.06.15	2	2.0
007	13:09:22	14.06.15	2	7.4
007	13:09:27	14.06.15	2	2.1
008	13:09:31	14.06.15	2	7.0
008	13:09:32	14.06.15	2	3.4
007	13:09:33	14.06.15	2	1.8
025	13:20:28	14.06.15	2	2.0
022	13:25:53	14.06.15	2	2.1
006	13:46:05	14.06.15	2	4.5
006	13:46:05	14.06.15	2	1.7
006	13:46:06	14.06.15	2	2.3
006	13:46:07	14.06.15	2	1.6
016	13:53:10	14.06.15	2	11.5
013	13:53:10	14.06.15	2	1.7
013	13:53:11	14.06.15	2	2.1
030	13:55:52	14.06.15	2	2.5
030	13:55:52	14.06.15	2	2.0
030	13:55:52	14.06.15	2	1.8
026	14:22:37	14.06.15	2	2.5
019	14:22:38	14.06.15	2	2.6
029	14:33:21	14.06.15	2	1.7
029	14:33:21	14.06.15	2	1.6
029	14:33:21	14.06.15	2	2.3
031	14:33:23	14.06.15	2	1.6
030	14:33:24	14.06.15	2	1.6
