

Standort: Kleinriehenstr

[km/h]				 [m]
Dateformat: dd.mm.yy
024	09:42:46	25.02.15	1	1.4
021	09:42:49	25.02.15	1	2.9
020	09:42:49	25.02.15	1	1.9
023	09:43:10	25.02.15	1	0.5
033	09:44:03	25.02.15	1	2.8
022	09:44:24	25.02.15	1	2.5
016	09:51:50	25.02.15	1	0.7
020	09:52:38	25.02.15	1	7.0
022	09:52:59	25.02.15	1	5.0
016	09:53:08	25.02.15	1	3.7
023	09:54:00	25.02.15	1	4.8
026	09:54:54	25.02.15	1	3.5
020	09:57:02	25.02.15	1	4.6
018	09:58:41	25.02.15	1	12.1
013	09:58:46	25.02.15	1	9.9
032	09:59:00	25.02.15	1	4.8
034	09:59:10	25.02.15	1	4.7
026	10:00:03	25.02.15	1	5.8
015	10:01:45	25.02.15	1	8.8
017	10:01:58	25.02.15	1	8.0
026	10:04:51	25.02.15	1	4.5
018	10:05:51	25.02.15	1	4.1
016	10:07:28	25.02.15	1	7.4
020	10:07:46	25.02.15	1	8.5
018	10:09:21	25.02.15	1	1.4
018	10:10:26	25.02.15	1	5.5
019	10:11:44	25.02.15	1	5.8
022	10:13:08	25.02.15	1	3.4
023	10:13:42	25.02.15	1	4.4
017	10:14:25	25.02.15	1	3.4
016	10:15:51	25.02.15	1	3.9
014	10:17:52	25.02.15	1	6.3
015	10:19:05	25.02.15	1	0.5
021	10:20:45	25.02.15	1	9.7
016	10:20:50	25.02.15	1	4.5
017	10:20:55	25.02.15	1	3.9
029	10:22:25	25.02.15	1	5.7
025	10:22:41	25.02.15	1	2.1
015	10:23:58	25.02.15	1	1.6
027	10:26:07	25.02.15	1	4.8
020	10:27:08	25.02.15	1	4.5
022	10:27:33	25.02.15	1	4.0
020	10:30:03	25.02.15	1	8.3
014	10:30:23	25.02.15	1	7.4
019	10:30:51	25.02.15	1	4.6
011	10:31:28	25.02.15	1	1.0
012	10:31:29	25.02.15	1	1.8
015	10:33:28	25.02.15	1	5.1
015	10:34:13	25.02.15	1	5.3
026	10:34:18	25.02.15	1	4.6
018	10:34:22	25.02.15	1	4.0
026	10:34:28	25.02.15	1	5.3
026	10:35:00	25.02.15	1	4.5
023	10:35:33	25.02.15	1	5.5
035	10:35:52	25.02.15	1	4.0
011	10:36:48	25.02.15	1	5.1
014	10:43:40	25.02.15	1	6.2
017	10:47:03	25.02.15	1	0.5
012	10:47:13	25.02.15	1	4.2
018	10:47:17	25.02.15	1	5.6
017	10:48:03	25.02.15	1	4.2
019	10:50:51	25.02.15	1	4.4
019	10:51:13	25.02.15	1	5.4
039	10:51:37	25.02.15	1	4.5
025	10:53:47	25.02.15	1	10.3
023	10:54:31	25.02.15	1	4.0
016	10:57:03	25.02.15	1	8.3
026	10:57:06	25.02.15	1	4.9
028	10:57:15	25.02.15	1	3.7
014	10:57:37	25.02.15	1	15.8
026	10:58:02	25.02.15	1	5.0
021	11:00:30	25.02.15	1	4.1
038	11:03:20	25.02.15	1	4.8
025	11:03:34	25.02.15	1	4.1
028	11:05:19	25.02.15	1	5.0
021	11:07:12	25.02.15	1	5.0
021	11:07:25	25.02.15	1	4.7
027	11:07:53	25.02.15	1	1.6
030	11:08:11	25.02.15	1	5.2
017	11:09:55	25.02.15	1	5.0
026	11:10:40	25.02.15	1	4.6
036	11:11:05	25.02.15	1	4.8
023	11:11:22	25.02.15	1	4.5
026	11:11:28	25.02.15	1	4.8
024	11:12:04	25.02.15	1	4.9
010	11:13:11	25.02.15	1	4.5
019	11:13:32	25.02.15	1	4.0
026	11:14:05	25.02.15	1	4.8
020	11:15:31	25.02.15	1	9.5
