

Standort: Morystrssse 53

[km/h]				 [m]
Dateformat: dd.mm.yy
013	11:44:00	27.11.15	1	3.3
013	11:46:01	27.11.15	1	4.8
026	11:48:29	27.11.15	1	3.5
015	11:51:36	27.11.15	1	3.4
019	11:52:27	27.11.15	1	1.2
026	11:53:28	27.11.15	1	4.8
025	11:54:06	27.11.15	1	6.3
025	11:55:01	27.11.15	1	3.3
035	11:57:05	27.11.15	1	5.0
034	11:57:57	27.11.15	1	4.5
030	12:00:22	27.11.15	1	3.4
028	12:02:41	27.11.15	1	4.0
017	12:03:51	27.11.15	1	5.3
028	12:06:21	27.11.15	1	4.0
025	12:06:23	27.11.15	1	4.8
021	12:06:47	27.11.15	1	4.7
027	12:07:03	27.11.15	1	1.9
028	12:07:16	27.11.15	1	4.7
024	12:08:00	27.11.15	1	6.2
033	12:12:12	27.11.15	1	3.7
025	12:12:25	27.11.15	1	4.2
030	12:14:08	27.11.15	1	4.9
032	12:15:56	27.11.15	1	4.3
017	12:18:40	27.11.15	1	2.0
029	12:19:53	27.11.15	1	4.2
017	12:20:40	27.11.15	1	1.4
028	12:20:44	27.11.15	1	4.4
029	12:21:47	27.11.15	1	4.3
029	12:22:08	27.11.15	1	5.2
015	12:22:52	27.11.15	1	1.9
033	12:22:58	27.11.15	1	5.1
014	12:23:51	27.11.15	1	1.3
031	12:24:02	27.11.15	1	4.5
031	12:28:25	27.11.15	1	4.4
013	12:32:22	27.11.15	1	2.2
028	12:34:54	27.11.15	1	3.7
030	12:34:57	27.11.15	1	4.0
026	12:35:13	27.11.15	1	5.2
033	12:38:23	27.11.15	1	4.2
028	12:38:47	27.11.15	1	3.4
026	12:39:35	27.11.15	1	3.7
028	12:39:40	27.11.15	1	6.0
033	12:42:25	27.11.15	1	3.9
020	12:42:32	27.11.15	1	1.2
026	12:42:43	27.11.15	1	3.9
029	12:48:37	27.11.15	1	6.7
033	12:55:13	27.11.15	1	4.6
017	12:55:19	27.11.15	1	1.4
034	12:56:42	27.11.15	1	4.0
028	12:59:30	27.11.15	1	4.6
015	13:01:57	27.11.15	1	0.6
027	13:04:15	27.11.15	1	3.8
024	13:07:37	27.11.15	1	3.5
020	13:08:40	27.11.15	1	4.9
020	13:13:45	27.11.15	1	4.2
030	13:17:22	27.11.15	1	4.3
031	13:19:55	27.11.15	1	4.3
033	13:21:20	27.11.15	1	3.8
033	13:22:11	27.11.15	1	3.8
028	13:26:52	27.11.15	1	3.5
030	13:28:09	27.11.15	1	4.1
031	13:28:50	27.11.15	1	6.0
019	13:29:30	27.11.15	1	1.2
021	13:29:47	27.11.15	1	0.5
029	13:30:10	27.11.15	1	3.5
008	13:31:07	27.11.15	1	1.4
024	13:32:11	27.11.15	1	4.7
025	13:33:51	27.11.15	1	1.2
032	13:33:52	27.11.15	1	3.2
021	13:34:11	27.11.15	1	2.7
011	13:36:31	27.11.15	1	4.4
013	13:36:33	27.11.15	1	2.8
007	13:37:51	27.11.15	1	1.2
020	13:40:19	27.11.15	1	1.9
028	13:42:50	27.11.15	1	4.9
032	13:43:44	27.11.15	1	3.8
024	13:43:55	27.11.15	1	4.6
018	13:45:13	27.11.15	1	2.1
018	13:45:13	27.11.15	1	0.6
016	13:45:15	27.11.15	1	1.5
026	13:47:19	27.11.15	1	3.4
025	13:47:19	27.11.15	1	1.1
013	13:48:18	27.11.15	1	1.4
021	13:48:49	27.11.15	1	4.4
022	13:49:21	27.11.15	1	1.2
026	13:51:03	27.11.15	1	5.6
028	13:51:28	27.11.15	1	4.2
024	13:54:02	27.11.15	1	6.6
032	13:54:59	27.11.15	1	3.9
031	13:56:55	27.11.15	1	4.9
019	14:00:17	27.11.15	1	1.2
019	14:00:18	27.11.15	1	1.4
026	14:09:33	27.11.15	1	5.2
033	14:09:46	27.11.15	1	3.7
028	14:10:34	27.11.15	1	6.6
022	14:11:56	27.11.15	1	4.1
030	14:12:56	27.11.15	1	3.8
037	14:16:36	27.11.15	1	4.8
033	14:16:47	27.11.15	1	4.9
029	14:19:06	27.11.15	1	0.9
030	14:20:11	27.11.15	1	4.4
028	14:21:56	27.11.15	1	4.9
028	14:22:10	27.11.15	1	4.3
028	14:28:57	27.11.15	1	3.7
024	14:31:49	27.11.15	1	5.2
027	14:35:44	27.11.15	1	1.2
020	14:37:39	27.11.15	1	4.8
027	14:38:14	27.11.15	1	4.8
018	14:39:32	27.11.15	1	1.1
020	14:39:48	27.11.15	1	1.5
018	14:40:02	27.11.15	1	4.3
019	14:44:23	27.11.15	1	1.0
030	14:46:30	27.11.15	1	3.5
032	14:49:50	27.11.15	1	4.0
018	14:51:21	27.11.15	1	4.3
028	14:52:08	27.11.15	1	4.7
