

Standort: Niederholzstrass

[km/h]				 [m]
Dateformat: dd.mm.yy
012	08:11:52	19.04.17	1	4.2
005	08:22:04	19.04.17	1	0.6
031	08:25:16	19.04.17	1	7.1
015	08:28:10	19.04.17	1	3.5
033	08:29:52	19.04.17	1	2.7
023	08:30:59	19.04.17	1	4.9
010	08:33:46	19.04.17	1	2.4
020	08:39:04	19.04.17	1	3.8
006	08:40:51	19.04.17	1	0.6
012	08:42:52	19.04.17	1	2.9
013	08:43:06	19.04.17	1	1.9
015	08:45:00	19.04.17	1	3.1
036	08:46:18	19.04.17	1	6.5
032	08:48:30	19.04.17	1	5.3
029	08:51:53	19.04.17	1	6.5
027	08:57:47	19.04.17	1	4.6
015	08:59:24	19.04.17	1	2.5
027	08:59:45	19.04.17	1	6.5
014	09:01:45	19.04.17	1	2.6
024	09:02:01	19.04.17	1	5.9
024	09:04:41	19.04.17	1	5.7
025	09:15:01	19.04.17	1	5.5
035	09:16:58	19.04.17	1	8.2
030	09:17:04	19.04.17	1	5.1
031	09:17:06	19.04.17	1	5.4
028	09:17:57	19.04.17	1	5.2
034	09:18:20	19.04.17	1	6.2
026	09:18:25	19.04.17	1	8.0
027	09:20:33	19.04.17	1	5.1
027	09:25:18	19.04.17	1	5.1
007	09:27:13	19.04.17	1	1.8
033	09:29:47	19.04.17	1	6.2
029	09:32:11	19.04.17	1	4.8
031	09:33:01	19.04.17	1	7.2
023	09:33:36	19.04.17	1	7.6
024	09:35:42	19.04.17	1	5.6
023	09:40:23	19.04.17	1	6.0
025	09:40:58	19.04.17	1	5.4
012	09:46:07	19.04.17	1	2.7
024	09:48:10	19.04.17	1	5.5
034	09:51:14	19.04.17	1	5.4
027	09:52:15	19.04.17	1	6.1
035	09:52:55	19.04.17	1	6.2
014	09:54:36	19.04.17	1	2.4
023	09:55:32	19.04.17	1	1.7
015	09:55:42	19.04.17	1	3.1
036	09:56:00	19.04.17	1	4.7
029	09:57:41	19.04.17	1	5.2
033	09:57:59	19.04.17	1	2.7
013	10:09:25	19.04.17	1	2.1
026	10:10:04	19.04.17	1	5.4
021	10:17:03	19.04.17	1	5.3
026	10:18:02	19.04.17	1	5.4
012	10:18:41	19.04.17	1	7.1
020	10:19:14	19.04.17	1	2.9
035	10:22:37	19.04.17	1	5.7
018	10:24:14	19.04.17	1	8.1
015	10:25:33	19.04.17	1	3.4
027	10:25:45	19.04.17	1	5.3
028	10:28:04	19.04.17	1	5.0
030	10:31:09	19.04.17	1	4.6
034	10:32:50	19.04.17	1	5.9
014	10:38:32	19.04.17	1	2.7
031	10:40:52	19.04.17	1	7.2
029	10:41:10	19.04.17	1	4.9
024	10:42:53	19.04.17	1	6.0
013	10:43:17	19.04.17	1	3.9
010	10:45:32	19.04.17	1	7.6
020	10:46:43	19.04.17	1	4.3
030	10:46:49	19.04.17	1	5.3
027	10:47:24	19.04.17	1	8.1
020	10:49:48	19.04.17	1	3.0
020	10:50:16	19.04.17	1	10.4
026	10:50:20	19.04.17	1	5.3
029	10:50:25	19.04.17	1	4.9
030	10:51:53	19.04.17	1	5.1
025	10:52:26	19.04.17	1	7.3
027	10:54:07	19.04.17	1	3.1
033	10:54:27	19.04.17	1	5.4
012	10:57:59	19.04.17	1	4.3
032	11:08:00	19.04.17	1	5.9
027	11:09:48	19.04.17	1	5.8
012	11:13:00	19.04.17	1	1.9
016	11:14:18	19.04.17	1	2.8
019	11:14:43	19.04.17	1	4.5
022	11:14:47	19.04.17	1	5.2
021	11:14:53	19.04.17	1	5.2
031	11:15:37	19.04.17	1	4.8
027	11:15:58	19.04.17	1	6.1
012	11:16:44	19.04.17	1	2.1
010	11:16:58	19.04.17	1	2.0
014	11:18:10	19.04.17	1	2.6
033	11:22:41	19.04.17	1	5.1
022	11:23:23	19.04.17	1	3.0
011	11:25:23	19.04.17	1	2.5
028	11:30:54	19.04.17	1	4.0
018	11:34:33	19.04.17	1	2.7
031	11:35:15	19.04.17	1	5.5
021	11:38:08	19.04.17	1	2.4
021	11:38:10	19.04.17	1	3.3
018	11:39:20	19.04.17	1	2.5
013	11:41:11	19.04.17	1	2.4
022	11:41:16	19.04.17	1	5.6
038	11:42:42	19.04.17	1	5.6
