

Standort: Reservoirstrasse

[km/h]				 [m]
Dateformat: dd.mm.yy
010	12:34:57	25.11.16	1	2.3
021	12:34:58	25.11.16	1	4.4
018	12:34:58	25.11.16	1	1.4
005	12:35:06	25.11.16	1	1.6
031	12:36:06	25.11.16	1	3.6
038	12:36:07	25.11.16	1	8.3
062	12:36:17	25.11.16	1	8.0
019	12:37:00	25.11.16	1	2.0
040	12:37:01	25.11.16	1	5.4
039	12:37:01	25.11.16	1	2.6
038	12:37:01	25.11.16	1	2.6
061	12:37:44	25.11.16	1	3.3
056	12:37:46	25.11.16	1	16.1
056	12:37:46	25.11.16	1	9.3
052	12:37:47	25.11.16	1	5.0
055	12:37:47	25.11.16	1	1.6
056	12:37:48	25.11.16	1	1.7
023	12:37:50	25.11.16	1	2.8
009	12:38:22	25.11.16	1	1.4
027	12:47:17	25.11.16	1	7.9
028	12:47:19	25.11.16	1	6.6
023	12:48:04	25.11.16	1	4.3
018	12:48:05	25.11.16	1	3.5
009	12:49:12	25.11.16	1	4.1
035	12:58:54	25.11.16	1	5.8
033	13:02:17	25.11.16	1	4.5
031	13:09:04	25.11.16	1	3.9
033	13:16:09	25.11.16	1	4.0
033	13:20:09	25.11.16	1	4.0
033	13:29:36	25.11.16	1	3.8
041	13:30:46	25.11.16	1	6.6
034	13:37:05	25.11.16	1	4.8
038	13:38:21	25.11.16	1	4.9
031	13:38:42	25.11.16	1	4.1
023	13:41:05	25.11.16	1	3.5
029	13:49:18	25.11.16	1	2.5
029	13:49:49	25.11.16	1	4.5
028	13:52:02	25.11.16	1	5.2
033	13:53:13	25.11.16	1	4.5
029	13:54:18	25.11.16	1	3.7
029	13:54:20	25.11.16	1	4.4
031	14:01:32	25.11.16	1	4.3
025	14:02:01	25.11.16	1	5.9
042	14:02:53	25.11.16	1	4.3
027	14:05:31	25.11.16	1	4.3
029	14:06:40	25.11.16	1	5.5
031	14:11:59	25.11.16	1	4.1
029	14:12:19	25.11.16	1	4.0
028	14:12:21	25.11.16	1	3.3
032	14:17:37	25.11.16	1	4.1
030	14:17:41	25.11.16	1	4.6
031	14:18:06	25.11.16	1	4.1
027	14:18:25	25.11.16	1	4.4
014	14:21:55	25.11.16	1	5.4
033	14:24:03	25.11.16	1	4.1
033	14:25:15	25.11.16	1	4.0
030	14:28:14	25.11.16	1	3.4
027	14:28:18	25.11.16	1	4.3
028	14:28:49	25.11.16	1	3.1
031	14:29:49	25.11.16	1	4.2
023	14:35:17	25.11.16	1	8.7
038	14:36:27	25.11.16	1	4.0
030	14:37:45	25.11.16	1	4.1
020	14:38:51	25.11.16	1	1.1
034	14:44:42	25.11.16	1	4.6
025	14:48:20	25.11.16	1	6.0
019	14:56:43	25.11.16	1	3.9
030	15:03:33	25.11.16	1	5.0
031	15:06:25	25.11.16	1	4.1
028	15:07:08	25.11.16	1	4.5
028	15:07:41	25.11.16	1	4.0
026	15:07:52	25.11.16	1	4.2
028	15:07:53	25.11.16	1	5.4
032	15:09:38	25.11.16	1	4.9
025	15:13:43	25.11.16	1	4.6
037	15:15:41	25.11.16	1	1.7
024	15:24:01	25.11.16	1	4.0
037	15:38:07	25.11.16	1	4.1
029	15:40:07	25.11.16	1	4.7
033	15:40:19	25.11.16	1	5.6
027	15:43:57	25.11.16	1	3.9
014	15:47:05	25.11.16	1	0.6
037	15:47:13	25.11.16	1	4.5
034	15:47:19	25.11.16	1	4.6
018	15:50:54	25.11.16	1	3.4
022	15:54:38	25.11.16	1	3.7
025	15:55:01	25.11.16	1	7.7
025	15:55:53	25.11.16	1	5.4
029	15:56:36	25.11.16	1	4.4
029	15:57:09	25.11.16	1	4.0
036	15:58:21	25.11.16	1	5.0
035	15:58:30	25.11.16	1	4.7
023	15:59:15	25.11.16	1	3.3
035	15:59:58	25.11.16	1	5.4
039	16:03:03	25.11.16	1	4.9
035	16:04:21	25.11.16	1	3.8
031	16:10:04	25.11.16	1	4.7
018	16:13:07	25.11.16	1	1.8
027	16:15:31	25.11.16	1	3.7
026	16:22:26	25.11.16	1	4.5
027	16:27:28	25.11.16	1	6.1
029	16:35:43	25.11.16	1	4.3
032	16:39:11	25.11.16	1	4.6
028	16:42:29	25.11.16	1	5.1
032	16:49:22	25.11.16	1	1.0
031	16:53:19	25.11.16	1	4.4
024	16:54:06	25.11.16	1	2.0
041	16:58:07	25.11.16	1	5.0
042	17:01:41	25.11.16	1	4.0
031	17:06:22	25.11.16	1	4.0
034	17:21:52	25.11.16	1	3.6
026	17:22:13	25.11.16	1	4.4
037	17:23:18	25.11.16	1	4.0
019	17:26:55	25.11.16	1	3.3
026	17:27:20	25.11.16	1	4.3
031	17:28:53	25.11.16	1	4.4
023	17:30:59	25.11.16	1	4.1
027	17:37:20	25.11.16	1	3.6
029	17:40:48	25.11.16	1	3.8
031	17:47:06	25.11.16	1	1.5
032	17:51:57	25.11.16	1	4.2
035	18:00:04	25.11.16	1	4.4
036	18:04:10	25.11.16	1	4.3
035	18:11:05	25.11.16	1	3.8
032	18:14:25	25.11.16	1	4.0
031	18:19:34	25.11.16	1	4.4
035	18:19:44	25.11.16	1	3.9
032	18:24:36	25.11.16	1	4.4
031	18:27:47	25.11.16	1	4.9
036	18:29:21	25.11.16	1	4.5
029	18:33:35	25.11.16	1	3.8
033	18:45:55	25.11.16	1	4.8
030	18:56:40	25.11.16	1	4.0
040	18:58:42	25.11.16	1	3.1
031	19:13:39	25.11.16	1	4.7
030	19:15:31	25.11.16	1	4.4
034	19:20:25	25.11.16	1	4.0
031	19:25:17	25.11.16	1	4.7
037	19:58:23	25.11.16	1	4.2
036	20:13:47	25.11.16	1	5.3
026	20:21:11	25.11.16	1	5.3
021	21:18:59	25.11.16	1	1.6
025	21:36:45	25.11.16	1	3.6
030	21:41:02	25.11.16	1	3.9
032	21:45:10	25.11.16	1	3.7
038	21:47:27	25.11.16	1	4.1
036	22:20:23	25.11.16	1	4.9
028	22:53:42	25.11.16	1	3.8
023	22:53:44	25.11.16	1	3.8
036	23:12:20	25.11.16	1	4.6
032	23:21:36	25.11.16	1	4.4
038	23:25:57	25.11.16	1	4.0
032	23:27:39	25.11.16	1	3.8
025	23:28:29	25.11.16	1	3.5
027	23:31:02	25.11.16	1	4.6
037	00:32:34	26.11.16	1	4.7
034	03:27:31	26.11.16	1	4.0
