

Standort: Ruemelinsbachweg

[km/h]				 [m]
Dateformat: dd.mm.yy
007	13:46:52	26.06.15	2	4.3
007	13:57:51	26.06.15	2	1.7
004	14:08:09	26.06.15	2	2.0
007	14:26:11	26.06.15	2	2.2
007	14:26:12	26.06.15	2	1.9
021	14:45:08	26.06.15	2	3.6
007	14:47:36	26.06.15	2	2.1
006	14:55:14	26.06.15	2	3.2
023	14:56:43	26.06.15	2	9.3
007	14:57:12	26.06.15	2	2.3
007	14:57:13	26.06.15	2	1.9
004	14:57:21	26.06.15	2	2.3
028	15:01:42	26.06.15	2	6.0
005	15:03:22	26.06.15	2	2.1
022	15:19:41	26.06.15	2	6.2
024	15:29:06	26.06.15	2	6.3
020	15:46:56	26.06.15	2	6.3
008	15:48:38	26.06.15	2	2.2
008	16:10:41	26.06.15	2	6.2
021	16:17:17	26.06.15	2	2.5
008	16:23:46	26.06.15	2	4.2
024	16:25:50	26.06.15	2	4.3
026	16:45:15	26.06.15	2	4.0
008	16:45:39	26.06.15	2	4.3
008	17:00:47	26.06.15	2	3.8
008	17:02:47	26.06.15	2	5.3
007	17:04:41	26.06.15	2	5.3
005	17:10:37	26.06.15	2	2.0
008	17:10:39	26.06.15	2	3.4
005	17:10:40	26.06.15	2	1.7
027	17:12:30	26.06.15	2	4.1
009	17:18:39	26.06.15	2	6.8
008	17:23:53	26.06.15	2	7.0
007	17:24:04	26.06.15	2	4.7
027	17:31:41	26.06.15	2	3.9
004	17:41:34	26.06.15	2	2.2
007	17:43:20	26.06.15	2	1.6
039	17:58:43	26.06.15	2	1.6
005	18:06:50	26.06.15	2	1.9
006	18:22:09	26.06.15	2	2.7
022	18:27:12	26.06.15	2	4.5
008	18:34:21	26.06.15	2	6.2
022	18:35:57	26.06.15	2	4.3
007	18:43:48	26.06.15	2	1.9
008	18:51:02	26.06.15	2	4.0
007	18:51:03	26.06.15	2	1.6
005	18:51:11	26.06.15	2	1.6
008	18:52:06	26.06.15	2	4.0
009	18:52:35	26.06.15	2	5.6
006	18:56:09	26.06.15	2	2.1
007	18:57:33	26.06.15	2	1.6
006	18:57:35	26.06.15	2	1.6
007	18:58:18	26.06.15	2	2.4
007	18:58:19	26.06.15	2	1.8
005	18:58:48	26.06.15	2	1.7
006	18:58:49	26.06.15	2	1.8
005	19:00:17	26.06.15	2	1.7
011	19:02:20	26.06.15	2	3.0
008	19:02:33	26.06.15	2	6.4
006	19:09:50	26.06.15	2	3.4
016	19:15:33	26.06.15	2	6.7
027	19:27:26	26.06.15	2	6.5
007	20:23:55	26.06.15	2	1.9
006	20:23:56	26.06.15	2	1.9
005	20:45:53	26.06.15	2	1.9
006	20:45:54	26.06.15	2	2.8
005	20:45:55	26.06.15	2	2.0
007	21:20:05	26.06.15	2	3.7
006	21:22:49	26.06.15	2	3.1
021	21:34:01	26.06.15	2	8.5
007	21:52:57	26.06.15	2	4.9
007	22:01:39	26.06.15	2	1.8
008	22:06:13	26.06.15	2	6.5
005	22:06:16	26.06.15	2	1.6
006	22:12:20	26.06.15	2	2.0
005	22:12:22	26.06.15	2	3.8
022	22:20:42	26.06.15	2	3.6
005	22:26:33	26.06.15	2	6.2
008	22:41:07	26.06.15	2	4.6
005	23:27:10	26.06.15	2	2.0
005	23:27:11	26.06.15	2	2.0
006	23:27:12	26.06.15	2	1.7
005	23:35:27	26.06.15	2	1.7
006	23:35:28	26.06.15	2	2.1
005	23:56:13	26.06.15	2	1.9
005	23:56:14	26.06.15	2	3.0
005	00:26:14	27.06.15	2	2.9
018	04:59:18	27.06.15	2	6.1
007	05:37:38	27.06.15	2	2.0
007	05:37:39	27.06.15	2	1.7
008	06:36:48	27.06.15	2	4.3
006	06:39:36	27.06.15	2	4.2
007	06:39:39	27.06.15	2	3.1
006	06:39:40	27.06.15	2	2.0
026	07:08:24	27.06.15	2	1.7
005	07:19:08	27.06.15	2	1.7
005	07:32:24	27.06.15	2	1.8
035	07:55:58	27.06.15	2	1.7
005	08:21:53	27.06.15	2	2.0
008	08:32:01	27.06.15	2	5.1
005	08:36:20	27.06.15	2	1.7
005	08:36:21	27.06.15	2	1.7
008	08:39:07	27.06.15	2	4.7
011	08:48:16	27.06.15	2	2.2
006	08:48:24	27.06.15	2	2.4
006	08:48:25	27.06.15	2	2.1
005	08:51:15	27.06.15	2	2.0
005	08:51:16	27.06.15	2	2.1
005	08:51:17	27.06.15	2	2.0
007	08:55:37	27.06.15	2	3.2
006	08:56:28	27.06.15	2	3.8
022	08:59:41	27.06.15	2	3.7
018	09:03:29	27.06.15	2	3.5
018	09:03:42	27.06.15	2	4.4
021	09:23:01	27.06.15	2	3.7
021	09:51:30	27.06.15	2	5.4
007	09:52:23	27.06.15	2	1.7
022	09:52:34	27.06.15	2	4.1
024	09:52:34	27.06.15	2	2.4
024	09:53:27	27.06.15	2	6.0
006	09:53:59	27.06.15	2	2.2
024	10:03:36	27.06.15	2	6.7
005	10:08:06	27.06.15	2	1.6
006	10:10:52	27.06.15	2	2.0
007	10:10:53	27.06.15	2	2.1
015	10:15:59	27.06.15	2	2.5
012	10:16:01	27.06.15	2	2.6
015	10:16:03	27.06.15	2	4.2
012	10:16:03	27.06.15	2	2.2
011	10:16:05	27.06.15	2	5.2
008	10:16:07	27.06.15	2	2.6
019	10:16:08	27.06.15	2	4.1
014	10:16:10	27.06.15	2	7.2
014	10:16:14	27.06.15	2	9.3
008	10:16:15	27.06.15	2	2.9
014	10:16:16	27.06.15	2	2.6
015	10:16:18	27.06.15	2	1.9
013	10:16:20	27.06.15	2	4.9
014	10:16:21	27.06.15	2	3.9
014	10:16:22	27.06.15	2	3.3
009	10:16:25	27.06.15	2	1.8
013	10:16:25	27.06.15	2	1.8
015	10:16:36	27.06.15	2	2.4
017	10:16:42	27.06.15	2	2.9
012	10:16:43	27.06.15	2	2.7
013	10:16:46	27.06.15	2	1.8
014	10:17:01	27.06.15	2	2.2
012	10:17:04	27.06.15	2	1.8
005	10:17:05	27.06.15	2	2.1
014	10:17:22	27.06.15	2	1.6
009	10:17:26	27.06.15	2	1.6
012	10:17:40	27.06.15	2	1.7
007	10:17:41	27.06.15	2	2.0
006	10:17:44	27.06.15	2	1.8
008	10:17:47	27.06.15	2	1.7
011	10:17:47	27.06.15	2	2.3
014	10:17:48	27.06.15	2	2.4
014	10:17:50	27.06.15	2	5.9
012	10:17:51	27.06.15	2	1.6
005	10:17:52	27.06.15	2	2.1
011	10:17:56	27.06.15	2	1.6
019	10:17:58	27.06.15	2	2.5
010	10:17:59	27.06.15	2	1.7
013	10:18:00	27.06.15	2	2.7
010	10:18:01	27.06.15	2	2.3
017	10:18:04	27.06.15	2	3.8
004	10:18:06	27.06.15	2	1.6
012	10:18:07	27.06.15	2	2.1
011	10:18:08	27.06.15	2	4.0
011	10:18:09	27.06.15	2	2.3
014	10:18:11	27.06.15	2	1.9
013	10:18:13	27.06.15	2	2.7
009	10:18:14	27.06.15	2	1.7
005	10:18:19	27.06.15	2	1.8
007	10:18:21	27.06.15	2	2.1
014	10:18:22	27.06.15	2	4.0
011	10:18:24	27.06.15	2	1.6
014	10:18:25	27.06.15	2	1.7
012	10:18:26	27.06.15	2	3.3
011	10:18:29	27.06.15	2	1.9
013	10:18:34	27.06.15	2	1.6
012	10:34:16	27.06.15	2	4.8
020	11:55:22	27.06.15	2	2.6
023	12:09:50	27.06.15	2	2.7
023	12:09:51	27.06.15	2	3.3
023	12:18:26	27.06.15	2	3.8
022	12:55:53	27.06.15	2	2.5
010	12:57:29	27.06.15	2	1.7
023	13:07:44	27.06.15	2	3.6
028	13:07:55	27.06.15	2	2.8
022	13:11:09	27.06.15	2	3.2
015	13:50:23	27.06.15	2	3.5
022	13:50:30	27.06.15	2	3.2
016	14:12:28	27.06.15	2	2.9
005	14:12:55	27.06.15	2	1.9
020	14:38:15	27.06.15	2	2.8
017	14:38:18	27.06.15	2	2.6
021	14:47:12	27.06.15	2	3.2
031	15:09:41	27.06.15	2	4.8
023	15:35:35	27.06.15	2	3.1
023	15:42:33	27.06.15	2	3.1
022	17:15:16	27.06.15	2	3.4
022	19:52:00	27.06.15	2	4.8
027	23:43:14	27.06.15	2	3.2
009	00:00:06	28.06.15	2	2.8
021	07:02:45	28.06.15	2	5.9
020	08:59:52	28.06.15	2	3.2
014	09:21:35	28.06.15	2	2.4
013	09:21:35	28.06.15	2	3.1
022	09:30:20	28.06.15	2	3.5
018	09:54:36	28.06.15	2	3.5
007	09:57:03	28.06.15	2	1.8
023	10:00:29	28.06.15	2	3.3
023	10:00:34	28.06.15	2	3.0
024	10:58:10	28.06.15	2	4.5
028	11:01:40	28.06.15	2	3.5
026	11:27:52	28.06.15	2	3.4
019	11:31:51	28.06.15	2	3.1
033	11:35:29	28.06.15	2	8.7
021	11:59:59	28.06.15	2	3.2
023	12:02:07	28.06.15	2	3.6
021	15:57:11	28.06.15	2	3.2
018	15:57:24	28.06.15	2	3.1
022	16:11:56	28.06.15	2	2.6
024	16:22:15	28.06.15	2	2.7
024	16:26:34	28.06.15	2	3.6
022	16:27:47	28.06.15	2	4.9
022	16:27:48	28.06.15	2	3.7
020	16:27:59	28.06.15	2	3.1
006	17:22:45	28.06.15	2	1.6
017	18:31:37	28.06.15	2	2.7
006	19:09:59	28.06.15	2	1.6
005	19:29:45	28.06.15	2	1.6
019	19:56:32	28.06.15	2	5.5
028	19:58:13	28.06.15	2	2.8
021	19:58:14	28.06.15	2	2.8
023	21:30:56	28.06.15	2	3.2
024	22:31:07	28.06.15	2	2.7
025	00:16:20	29.06.15	2	5.3
027	05:32:43	29.06.15	2	3.6
026	07:02:45	29.06.15	2	3.2
021	07:09:08	29.06.15	2	3.4
021	07:47:06	29.06.15	2	2.6
023	07:53:09	29.06.15	2	3.2
025	08:05:07	29.06.15	2	3.2
021	08:57:52	29.06.15	2	4.2
020	09:07:45	29.06.15	2	4.2
015	09:13:58	29.06.15	2	2.9
025	10:11:19	29.06.15	2	3.1
022	10:23:26	29.06.15	2	3.3
029	10:43:29	29.06.15	2	2.8
023	10:50:18	29.06.15	2	1.6
017	10:52:02	29.06.15	2	4.6
020	11:37:53	29.06.15	2	2.7
025	11:45:15	29.06.15	2	3.9
006	11:53:48	29.06.15	2	1.6
018	11:55:27	29.06.15	2	4.1
025	11:58:08	29.06.15	2	3.2
022	12:56:40	29.06.15	2	4.9
025	13:07:44	29.06.15	2	5.6
008	13:54:25	29.06.15	2	1.6
018	14:32:40	29.06.15	2	2.9
026	14:32:52	29.06.15	2	4.7
020	15:03:12	29.06.15	2	4.6
023	15:18:54	29.06.15	2	3.3
022	16:29:34	29.06.15	2	4.8
023	16:36:16	29.06.15	2	3.0
026	17:14:06	29.06.15	2	4.9
027	17:20:10	29.06.15	2	4.6
005	17:33:17	29.06.15	2	1.7
006	17:33:18	29.06.15	2	1.6
019	17:41:24	29.06.15	2	3.9
026	18:02:18	29.06.15	2	2.7
015	18:06:15	29.06.15	2	3.3
023	18:37:40	29.06.15	2	3.0
009	19:24:11	29.06.15	2	2.3
026	19:25:01	29.06.15	2	3.8
025	05:58:31	30.06.15	2	3.3
027	06:57:09	30.06.15	2	2.8
026	07:08:44	30.06.15	2	4.4
025	07:25:11	30.06.15	2	3.1
017	08:28:43	30.06.15	2	3.1
019	08:33:07	30.06.15	2	3.1
021	08:55:05	30.06.15	2	4.8
018	08:56:34	30.06.15	2	4.7
018	08:59:21	30.06.15	2	2.3
024	09:27:58	30.06.15	2	3.1
020	09:33:28	30.06.15	2	3.2
022	10:43:49	30.06.15	2	3.4
023	10:56:10	30.06.15	2	4.0
022	11:48:00	30.06.15	2	5.2
022	11:55:01	30.06.15	2	3.9
026	11:55:13	30.06.15	2	2.8
020	12:09:10	30.06.15	2	3.2
018	13:09:20	30.06.15	2	3.2
024	14:34:25	30.06.15	2	2.9
005	15:00:40	30.06.15	2	1.7
023	15:16:55	30.06.15	2	3.2
024	15:24:55	30.06.15	2	3.2
024	15:54:52	30.06.15	2	3.2
029	16:10:53	30.06.15	2	2.9
020	16:13:49	30.06.15	2	3.8
021	16:43:53	30.06.15	2	3.4
024	16:48:29	30.06.15	2	4.9
009	16:52:38	30.06.15	2	3.9
