

Standort: Schaeublinstrass

[km/h]				 [m]
Dateformat: dd.mm.yy
028	10:14:20	11.12.15	1	4.8
024	10:15:05	11.12.15	1	4.5
023	10:16:10	11.12.15	1	7.9
016	10:19:42	11.12.15	1	1.7
042	10:24:04	11.12.15	1	7.0
038	10:27:19	11.12.15	1	6.6
045	10:30:25	11.12.15	1	12.6
030	10:35:21	11.12.15	1	6.4
042	10:47:29	11.12.15	1	6.1
033	10:47:57	11.12.15	1	8.3
044	10:50:10	11.12.15	1	8.2
040	10:59:35	11.12.15	1	6.2
020	11:11:35	11.12.15	1	6.4
035	11:21:01	11.12.15	1	6.8
048	11:25:59	11.12.15	1	7.7
038	11:26:17	11.12.15	1	5.6
028	11:29:16	11.12.15	1	5.4
034	11:29:52	11.12.15	1	4.7
027	11:31:02	11.12.15	1	3.7
049	11:57:58	11.12.15	1	8.7
030	11:58:18	11.12.15	1	3.0
029	11:58:28	11.12.15	1	0.7
035	12:11:45	11.12.15	1	4.4
046	12:12:06	11.12.15	1	5.6
035	12:15:40	11.12.15	1	5.1
033	12:17:40	11.12.15	1	1.6
015	12:21:56	11.12.15	1	2.6
039	12:22:18	11.12.15	1	3.6
033	12:27:15	11.12.15	1	7.4
028	12:40:34	11.12.15	1	4.7
057	12:43:30	11.12.15	1	5.3
048	12:45:16	11.12.15	1	5.2
039	12:46:32	11.12.15	1	4.3
027	12:47:24	11.12.15	1	0.7
033	12:56:56	11.12.15	1	7.0
026	12:57:07	11.12.15	1	5.1
041	12:57:31	11.12.15	1	6.2
039	13:01:28	11.12.15	1	6.4
038	13:01:29	11.12.15	1	5.8
029	13:08:39	11.12.15	1	6.6
038	13:09:33	11.12.15	1	5.5
023	13:10:30	11.12.15	1	9.6
040	13:16:12	11.12.15	1	7.6
031	13:17:13	11.12.15	1	2.4
047	13:21:38	11.12.15	1	5.9
039	13:23:43	11.12.15	1	6.4
034	13:23:50	11.12.15	1	6.9
037	13:28:52	11.12.15	1	6.6
