

Standort: Schuetzengraben

[km/h]				 [m]
Dateformat: dd.mm.yy
040	14:25:29	17.03.15	1	4.1
041	14:25:30	17.03.15	1	3.3
038	14:25:33	17.03.15	1	2.8
037	14:25:34	17.03.15	1	5.3
039	14:25:36	17.03.15	1	5.1
037	14:25:38	17.03.15	1	3.7
046	14:25:38	17.03.15	1	4.2
038	14:25:40	17.03.15	1	4.4
039	14:25:43	17.03.15	1	5.6
041	14:25:45	17.03.15	1	9.5
034	14:25:59	17.03.15	1	4.2
043	14:26:14	17.03.15	1	3.3
034	14:26:57	17.03.15	1	2.8
036	14:26:58	17.03.15	1	4.4
039	14:27:03	17.03.15	1	5.0
030	14:27:14	17.03.15	1	6.8
035	14:27:17	17.03.15	1	4.6
047	14:27:53	17.03.15	1	4.5
044	14:27:56	17.03.15	1	4.5
038	14:27:57	17.03.15	1	6.8
036	14:28:01	17.03.15	1	3.7
033	14:28:02	17.03.15	1	5.6
030	14:28:04	17.03.15	1	4.7
038	14:28:05	17.03.15	1	1.5
039	14:28:31	17.03.15	1	5.9
048	14:29:03	17.03.15	1	10.4
041	14:29:07	17.03.15	1	9.8
037	14:29:09	17.03.15	1	4.7
037	14:29:11	17.03.15	1	4.2
040	14:29:13	17.03.15	1	3.6
040	14:29:14	17.03.15	1	4.4
024	14:30:17	17.03.15	1	1.4
043	14:30:25	17.03.15	1	1.0
037	14:30:30	17.03.15	1	10.2
034	14:30:32	17.03.15	1	3.3
036	14:30:32	17.03.15	1	3.1
033	14:31:27	17.03.15	1	4.6
045	14:31:29	17.03.15	1	8.9
033	14:31:34	17.03.15	1	5.9
034	14:31:37	17.03.15	1	4.9
047	14:31:42	17.03.15	1	5.3
042	14:31:53	17.03.15	1	4.8
038	14:31:58	17.03.15	1	4.2
021	14:32:05	17.03.15	1	0.6
035	14:32:09	17.03.15	1	5.4
028	14:32:41	17.03.15	1	4.5
043	14:32:42	17.03.15	1	6.6
038	14:32:44	17.03.15	1	5.3
033	14:32:47	17.03.15	1	6.6
033	14:32:48	17.03.15	1	5.2
045	14:32:58	17.03.15	1	5.5
044	14:33:00	17.03.15	1	3.0
046	14:33:16	17.03.15	1	4.8
044	14:33:19	17.03.15	1	8.1
047	14:33:49	17.03.15	1	4.5
025	14:33:53	17.03.15	1	19.7
031	14:33:56	17.03.15	1	2.9
031	14:34:00	17.03.15	1	7.9
041	14:34:01	17.03.15	1	5.4
030	14:34:02	17.03.15	1	4.2
029	14:34:14	17.03.15	1	1.1
046	14:34:15	17.03.15	1	3.9
046	14:34:26	17.03.15	1	4.5
