

Standort: Sieglinweg

[km/h]				 [m]
Dateformat: dd.mm.yy
015	09:54:25	22.07.16	1	4.6
010	09:57:38	22.07.16	1	2.3
016	09:58:11	22.07.16	1	1.6
015	09:58:12	22.07.16	1	3.9
010	10:06:50	22.07.16	1	5.2
008	10:07:10	22.07.16	1	1.1
004	10:08:37	22.07.16	1	1.5
007	10:08:41	22.07.16	1	1.2
010	10:09:56	22.07.16	1	2.8
009	10:10:22	22.07.16	1	4.2
010	10:14:06	22.07.16	1	3.2
020	10:15:26	22.07.16	1	3.5
007	10:16:53	22.07.16	1	0.9
013	10:19:46	22.07.16	1	2.7
019	10:24:59	22.07.16	1	6.8
024	10:30:13	22.07.16	1	7.2
022	10:36:41	22.07.16	1	7.1
025	10:48:09	22.07.16	1	7.9
019	10:58:02	22.07.16	1	7.9
016	10:58:15	22.07.16	1	8.2
023	10:59:53	22.07.16	1	7.7
020	11:06:12	22.07.16	1	6.5
025	11:09:52	22.07.16	1	0.6
018	11:09:53	22.07.16	1	6.7
023	11:24:51	22.07.16	1	6.8
032	11:24:55	22.07.16	1	7.6
017	11:25:21	22.07.16	1	2.6
025	11:25:58	22.07.16	1	1.6
018	11:44:10	22.07.16	1	7.1
017	11:49:07	22.07.16	1	6.9
016	11:52:12	22.07.16	1	1.2
012	11:52:13	22.07.16	1	2.7
019	11:56:12	22.07.16	1	4.3
004	12:00:06	22.07.16	1	1.0
006	12:16:01	22.07.16	1	1.4
005	12:16:34	22.07.16	1	2.3
010	12:16:58	22.07.16	1	1.7
007	12:17:55	22.07.16	1	0.9
006	12:18:58	22.07.16	1	0.8
007	12:23:43	22.07.16	1	1.5
015	12:23:47	22.07.16	1	7.8
018	12:25:12	22.07.16	1	1.4
007	12:27:56	22.07.16	1	3.2
005	12:44:12	22.07.16	1	2.2
007	12:53:33	22.07.16	1	2.3
004	12:54:32	22.07.16	1	0.7
010	12:56:02	22.07.16	1	0.9
009	12:56:05	22.07.16	1	5.1
011	13:02:09	22.07.16	1	6.3
012	13:04:39	22.07.16	1	6.4
007	13:05:27	22.07.16	1	2.2
009	13:06:51	22.07.16	1	0.5
007	13:11:17	22.07.16	1	5.5
017	13:22:52	22.07.16	1	5.6
013	13:28:24	22.07.16	1	5.8
021	13:30:56	22.07.16	1	4.6
015	13:31:44	22.07.16	1	2.0
018	13:50:51	22.07.16	1	7.6
009	13:55:18	22.07.16	1	1.5
010	13:55:56	22.07.16	1	1.5
018	13:58:01	22.07.16	1	3.5
013	14:12:38	22.07.16	1	3.2
022	14:28:22	22.07.16	1	4.5
019	14:41:57	22.07.16	1	5.4
025	14:46:41	22.07.16	1	5.5
026	14:53:55	22.07.16	1	3.1
020	15:35:01	22.07.16	1	4.6
021	15:43:33	22.07.16	1	3.6
022	15:54:17	22.07.16	1	3.4
017	16:04:29	22.07.16	1	3.4
017	16:15:08	22.07.16	1	4.1
024	16:27:34	22.07.16	1	3.7
021	16:41:13	22.07.16	1	3.8
