

Standort: Utengasse

[km/h]				 [m]
Dateformat: dd.mm.yy
012	11:11:25	17.02.15	1	2.9
019	11:14:21	17.02.15	1	6.3
013	11:15:24	17.02.15	1	2.4
028	11:15:51	17.02.15	1	1.6
027	11:15:51	17.02.15	1	2.3
024	11:15:51	17.02.15	1	1.6
026	11:15:53	17.02.15	1	10.2
009	11:16:54	17.02.15	1	6.6
017	11:17:13	17.02.15	1	6.8
034	11:20:37	17.02.15	1	7.7
022	11:21:19	17.02.15	1	3.0
041	11:21:57	17.02.15	1	8.0
033	11:22:19	17.02.15	1	7.5
029	11:24:20	17.02.15	1	6.5
025	11:24:53	17.02.15	1	3.2
026	11:25:02	17.02.15	1	3.0
025	11:25:43	17.02.15	1	7.3
020	11:26:00	17.02.15	1	3.4
022	11:27:33	17.02.15	1	3.5
034	11:27:38	17.02.15	1	7.6
034	11:27:46	17.02.15	1	7.8
024	11:28:06	17.02.15	1	3.3
025	11:28:51	17.02.15	1	3.2
017	11:29:39	17.02.15	1	4.2
024	11:30:32	17.02.15	1	4.0
032	11:31:24	17.02.15	1	6.8
021	11:32:03	17.02.15	1	3.0
026	11:32:18	17.02.15	1	16.7
027	11:32:45	17.02.15	1	6.6
024	11:33:24	17.02.15	1	5.7
028	11:34:20	17.02.15	1	8.7
023	11:35:45	17.02.15	1	3.0
020	11:36:27	17.02.15	1	3.9
024	11:37:21	17.02.15	1	3.5
024	11:38:25	17.02.15	1	5.0
020	11:39:05	17.02.15	1	11.4
007	11:39:58	17.02.15	1	1.9
019	11:41:55	17.02.15	1	3.3
019	11:44:00	17.02.15	1	3.2
024	11:44:25	17.02.15	1	5.2
020	11:45:23	17.02.15	1	2.8
022	11:46:24	17.02.15	1	2.5
007	11:46:34	17.02.15	1	1.8
020	11:47:32	17.02.15	1	3.0
015	11:48:51	17.02.15	1	3.8
030	11:49:08	17.02.15	1	5.5
017	11:50:49	17.02.15	1	3.4
024	11:52:00	17.02.15	1	2.5
025	11:52:16	17.02.15	1	6.0
014	11:52:18	17.02.15	1	2.5
