

Standort: _2[1].sdr

[km/h]				 [m]
Dateformat: dd.mm.yy
009	08:30:54	13.05.16	2	1.0
020	08:32:04	13.05.16	2	6.0
029	08:39:32	13.05.16	2	7.7
022	08:54:31	13.05.16	2	2.0
022	08:54:33	13.05.16	2	5.2
025	08:59:49	13.05.16	2	4.5
028	09:11:31	13.05.16	2	4.3
014	09:22:09	13.05.16	2	5.0
029	09:23:05	13.05.16	2	6.3
025	09:27:41	13.05.16	2	2.2
017	09:29:34	13.05.16	2	7.7
023	09:30:24	13.05.16	2	4.5
024	09:31:43	13.05.16	2	2.4
021	09:32:32	13.05.16	2	5.9
031	09:37:31	13.05.16	2	5.3
028	09:39:14	13.05.16	2	5.6
034	09:41:51	13.05.16	2	4.4
019	09:44:07	13.05.16	2	2.0
026	09:45:59	13.05.16	2	4.1
017	09:46:55	13.05.16	2	1.6
018	09:51:14	13.05.16	2	2.0
025	09:51:58	13.05.16	2	5.1
045	09:52:51	13.05.16	2	6.9
028	09:53:59	13.05.16	2	4.7
035	10:13:40	13.05.16	2	4.9
017	10:15:12	13.05.16	2	6.1
027	10:21:11	13.05.16	2	5.2
033	10:28:19	13.05.16	2	5.2
034	10:28:46	13.05.16	2	5.3
029	10:29:57	13.05.16	2	1.2
033	10:29:57	13.05.16	2	2.5
035	10:39:22	13.05.16	2	4.7
023	10:41:27	13.05.16	2	2.8
024	10:42:49	13.05.16	2	7.1
016	10:47:36	13.05.16	2	5.0
028	10:52:16	13.05.16	2	4.7
020	10:53:29	13.05.16	2	4.1
022	10:56:46	13.05.16	2	7.7
036	11:00:29	13.05.16	2	4.5
013	11:07:27	13.05.16	2	0.8
035	11:08:09	13.05.16	2	5.2
025	11:12:55	13.05.16	2	5.3
008	11:15:18	13.05.16	2	3.7
023	11:15:55	13.05.16	2	4.6
020	11:19:41	13.05.16	2	1.6
030	11:23:40	13.05.16	2	4.8
024	11:34:15	13.05.16	2	5.2
037	11:38:09	13.05.16	2	1.8
015	11:45:40	13.05.16	2	2.5
017	11:47:09	13.05.16	2	1.9
028	11:54:32	13.05.16	2	6.5
018	11:56:05	13.05.16	2	1.8
022	11:57:04	13.05.16	2	5.3
034	12:02:07	13.05.16	2	5.4
018	12:02:35	13.05.16	2	5.7
025	12:06:41	13.05.16	2	5.6
025	12:07:39	13.05.16	2	4.9
024	12:08:24	13.05.16	2	4.4
027	12:11:08	13.05.16	2	6.2
006	12:11:31	13.05.16	2	2.6
020	12:13:37	13.05.16	2	2.4
020	12:15:49	13.05.16	2	4.7
032	12:16:51	13.05.16	2	5.2
012	12:17:50	13.05.16	2	0.8
