

Standort: data_DC-SDR_4281B.sdr

[km/h]				 [m]
Dateformat: dd.mm.yy
014	09:43:57	03.03.15	1	1.5
020	09:44:52	03.03.15	1	5.3
030	09:45:53	03.03.15	1	3.9
023	09:46:49	03.03.15	1	4.3
022	09:48:53	03.03.15	1	0.8
016	09:49:03	03.03.15	1	0.8
031	09:49:50	03.03.15	1	4.1
036	09:53:28	03.03.15	1	4.1
018	09:56:00	03.03.15	1	0.8
023	09:56:05	03.03.15	1	5.9
033	09:56:43	03.03.15	1	3.7
030	09:56:51	03.03.15	1	0.5
030	09:57:09	03.03.15	1	3.9
027	09:57:12	03.03.15	1	4.5
035	09:59:28	03.03.15	1	3.9
030	10:00:26	03.03.15	1	4.4
030	10:01:36	03.03.15	1	4.1
028	10:02:32	03.03.15	1	4.5
045	10:02:52	03.03.15	1	0.5
049	10:04:02	03.03.15	1	2.9
033	10:04:20	03.03.15	1	0.5
018	10:05:33	03.03.15	1	0.9
037	10:06:40	03.03.15	1	4.9
023	10:07:13	03.03.15	1	1.4
031	10:07:34	03.03.15	1	4.9
029	10:09:01	03.03.15	1	0.7
032	10:10:00	03.03.15	1	5.7
032	10:10:11	03.03.15	1	4.6
036	10:10:36	03.03.15	1	3.5
016	10:11:55	03.03.15	1	0.5
035	10:12:55	03.03.15	1	0.9
025	10:14:22	03.03.15	1	9.3
029	10:14:26	03.03.15	1	4.7
032	10:14:47	03.03.15	1	1.0
032	10:15:09	03.03.15	1	4.9
030	10:16:38	03.03.15	1	1.6
023	10:16:53	03.03.15	1	4.4
027	10:17:12	03.03.15	1	4.1
030	10:18:12	03.03.15	1	7.6
027	10:19:28	03.03.15	1	3.5
023	10:19:32	03.03.15	1	3.7
024	10:20:06	03.03.15	1	4.2
032	10:21:35	03.03.15	1	4.9
029	10:21:52	03.03.15	1	3.3
031	10:23:00	03.03.15	1	5.4
027	10:28:52	03.03.15	1	1.1
031	10:29:20	03.03.15	1	4.1
028	10:31:16	03.03.15	1	3.4
032	10:31:44	03.03.15	1	7.3
037	10:32:02	03.03.15	1	1.5
032	10:32:46	03.03.15	1	4.1
028	10:33:21	03.03.15	1	4.2
028	10:33:26	03.03.15	1	3.6
028	10:33:30	03.03.15	1	4.0
027	10:34:03	03.03.15	1	4.1
017	10:34:29	03.03.15	1	2.5
021	10:34:38	03.03.15	1	1.6
034	10:35:05	03.03.15	1	0.9
027	10:35:44	03.03.15	1	4.1
036	10:37:26	03.03.15	1	0.9
031	10:37:46	03.03.15	1	3.2
029	10:38:48	03.03.15	1	2.9
027	10:39:07	03.03.15	1	4.0
031	10:39:32	03.03.15	1	6.3
027	10:40:22	03.03.15	1	4.0
036	10:40:34	03.03.15	1	4.5
033	10:40:36	03.03.15	1	3.3
033	10:40:51	03.03.15	1	3.3
034	10:41:19	03.03.15	1	4.2
029	10:41:49	03.03.15	1	4.1
028	10:42:03	03.03.15	1	3.9
024	10:42:12	03.03.15	1	3.6
027	10:44:22	03.03.15	1	6.0
036	10:46:21	03.03.15	1	3.6
033	10:47:55	03.03.15	1	4.3
027	10:49:54	03.03.15	1	5.9
032	10:49:58	03.03.15	1	4.1
036	10:50:14	03.03.15	1	2.9
026	10:51:19	03.03.15	1	3.8
033	10:51:56	03.03.15	1	2.9
042	10:53:15	03.03.15	1	1.3
031	10:54:28	03.03.15	1	3.1
032	10:57:15	03.03.15	1	4.3
033	10:58:01	03.03.15	1	4.1
022	10:58:27	03.03.15	1	3.1
029	10:59:33	03.03.15	1	4.3
030	10:59:52	03.03.15	1	4.6
027	11:00:22	03.03.15	1	4.6
031	11:06:04	03.03.15	1	4.9
040	11:06:40	03.03.15	1	4.1
024	11:07:00	03.03.15	1	4.3
028	11:08:00	03.03.15	1	4.8
033	11:09:14	03.03.15	1	4.4
017	11:10:07	03.03.15	1	1.4
023	11:10:28	03.03.15	1	1.0
027	11:11:30	03.03.15	1	3.4
028	11:11:49	03.03.15	1	3.8
037	11:12:31	03.03.15	1	3.4
023	11:14:54	03.03.15	1	4.8
039	11:15:19	03.03.15	1	4.5
023	11:16:04	03.03.15	1	4.1
033	11:18:22	03.03.15	1	3.2
024	11:19:32	03.03.15	1	4.7
028	11:19:41	03.03.15	1	4.3
026	11:21:48	03.03.15	1	0.7
039	11:22:14	03.03.15	1	2.0
023	11:22:24	03.03.15	1	1.1
024	11:22:51	03.03.15	1	4.0
019	11:22:57	03.03.15	1	1.1
032	11:23:20	03.03.15	1	3.5
032	11:23:23	03.03.15	1	4.6
029	11:23:43	03.03.15	1	0.7
030	11:24:22	03.03.15	1	0.9
028	11:24:23	03.03.15	1	0.6
021	11:24:49	03.03.15	1	2.7
033	11:28:13	03.03.15	1	3.6
030	11:29:19	03.03.15	1	0.5
029	11:29:22	03.03.15	1	1.4
039	11:29:58	03.03.15	1	4.5
024	11:30:55	03.03.15	1	4.2
030	11:31:33	03.03.15	1	2.4
030	11:32:45	03.03.15	1	3.9
030	11:33:06	03.03.15	1	6.8
016	11:33:42	03.03.15	1	0.8
019	11:37:11	03.03.15	1	6.1
038	11:38:28	03.03.15	1	4.0
032	11:40:13	03.03.15	1	3.5
035	11:43:54	03.03.15	1	1.1
024	11:43:58	03.03.15	1	0.7
011	11:44:30	03.03.15	1	0.8
038	11:45:11	03.03.15	1	0.7
024	11:46:37	03.03.15	1	3.7
017	11:47:55	03.03.15	1	0.6
029	11:47:57	03.03.15	1	3.2
030	11:48:13	03.03.15	1	3.7
029	11:49:51	03.03.15	1	3.3
029	11:51:10	03.03.15	1	1.6
022	11:54:20	03.03.15	1	4.1
025	11:54:48	03.03.15	1	4.5
019	11:54:54	03.03.15	1	0.7
031	11:58:28	03.03.15	1	0.9
030	12:02:46	03.03.15	1	4.3
024	12:04:20	03.03.15	1	3.2
019	12:04:24	03.03.15	1	0.8
037	12:04:55	03.03.15	1	0.6
033	12:05:09	03.03.15	1	0.5
033	12:05:33	03.03.15	1	2.6
021	12:05:37	03.03.15	1	1.7
027	12:07:01	03.03.15	1	3.1
017	12:07:07	03.03.15	1	1.0
025	12:12:03	03.03.15	1	1.3
016	12:12:43	03.03.15	1	0.6
018	12:14:55	03.03.15	1	1.5
021	12:15:20	03.03.15	1	1.1
042	12:15:32	03.03.15	1	3.6
036	12:18:01	03.03.15	1	4.1
024	12:18:21	03.03.15	1	5.7
035	12:19:24	03.03.15	1	0.7
019	12:19:48	03.03.15	1	2.0
020	12:19:55	03.03.15	1	1.4
029	12:20:02	03.03.15	1	3.8
018	12:20:29	03.03.15	1	0.8
028	12:20:52	03.03.15	1	1.2
032	12:21:50	03.03.15	1	4.9
023	12:22:59	03.03.15	1	1.1
010	12:23:38	03.03.15	1	0.6
026	12:24:11	03.03.15	1	3.3
030	12:24:35	03.03.15	1	4.7
036	12:25:33	03.03.15	1	4.0
016	12:26:55	03.03.15	1	3.8
030	12:28:37	03.03.15	1	3.8
032	12:30:07	03.03.15	1	1.0
028	12:31:42	03.03.15	1	4.2
033	12:34:00	03.03.15	1	4.6
033	12:34:56	03.03.15	1	3.8
020	12:35:57	03.03.15	1	2.3
019	12:36:38	03.03.15	1	1.1
022	12:41:29	03.03.15	1	6.9
026	12:43:44	03.03.15	1	0.5
032	12:43:54	03.03.15	1	1.6
028	12:45:00	03.03.15	1	3.0
023	12:45:23	03.03.15	1	3.4
030	12:46:25	03.03.15	1	6.9
017	12:47:49	03.03.15	1	1.0
030	12:48:41	03.03.15	1	1.3
036	12:49:55	03.03.15	1	3.1
040	12:52:47	03.03.15	1	1.0
031	12:53:19	03.03.15	1	3.9
015	12:58:40	03.03.15	1	1.3
031	12:59:17	03.03.15	1	4.6
030	13:00:17	03.03.15	1	4.9
036	13:01:06	03.03.15	1	0.5
019	13:02:16	03.03.15	1	6.6
024	13:03:02	03.03.15	1	6.8
029	13:05:30	03.03.15	1	4.0
026	13:05:38	03.03.15	1	5.5
028	13:06:32	03.03.15	1	4.4
027	13:07:10	03.03.15	1	4.0
028	13:08:55	03.03.15	1	4.3
028	13:08:58	03.03.15	1	4.7
032	13:09:39	03.03.15	1	3.6
020	13:09:44	03.03.15	1	1.2
030	13:10:39	03.03.15	1	5.1
032	13:10:45	03.03.15	1	4.4
029	13:11:00	03.03.15	1	3.4
031	13:11:12	03.03.15	1	3.6
027	13:11:33	03.03.15	1	4.7
031	13:12:11	03.03.15	1	4.2
021	13:12:37	03.03.15	1	1.2
027	13:12:42	03.03.15	1	4.2
033	13:14:12	03.03.15	1	0.7
022	13:14:27	03.03.15	1	4.7
021	13:15:14	03.03.15	1	1.6
020	13:15:28	03.03.15	1	1.0
028	13:17:24	03.03.15	1	3.2
033	13:18:25	03.03.15	1	5.5
030	13:19:11	03.03.15	1	4.5
026	13:20:27	03.03.15	1	4.0
034	13:21:06	03.03.15	1	1.8
031	13:21:22	03.03.15	1	1.2
031	13:21:49	03.03.15	1	4.2
027	13:21:51	03.03.15	1	3.3
032	13:23:09	03.03.15	1	4.4
036	13:25:10	03.03.15	1	3.6
033	13:25:33	03.03.15	1	5.1
028	13:26:39	03.03.15	1	3.7
028	13:27:40	03.03.15	1	4.6
031	13:29:23	03.03.15	1	3.5
022	13:29:48	03.03.15	1	0.8
022	13:30:27	03.03.15	1	1.3
027	13:30:54	03.03.15	1	7.0
032	13:31:54	03.03.15	1	3.6
029	13:32:37	03.03.15	1	3.9
034	13:34:36	03.03.15	1	5.8
033	13:34:57	03.03.15	1	3.3
036	13:35:47	03.03.15	1	2.9
034	13:35:50	03.03.15	1	1.5
036	13:36:04	03.03.15	1	3.4
021	13:36:22	03.03.15	1	1.3
024	13:37:43	03.03.15	1	4.5
026	13:38:12	03.03.15	1	0.5
034	13:38:47	03.03.15	1	3.8
025	13:38:58	03.03.15	1	3.3
026	13:40:24	03.03.15	1	3.9
027	13:41:11	03.03.15	1	4.8
033	13:43:26	03.03.15	1	1.7
033	13:44:18	03.03.15	1	3.3
034	13:44:26	03.03.15	1	4.1
033	13:44:45	03.03.15	1	1.2
020	13:45:13	03.03.15	1	1.2
022	13:45:24	03.03.15	1	2.3
020	13:46:32	03.03.15	1	0.8
030	13:46:53	03.03.15	1	3.4
028	13:47:04	03.03.15	1	3.7
026	13:47:56	03.03.15	1	4.3
018	13:48:24	03.03.15	1	4.0
020	13:49:40	03.03.15	1	4.8
029	13:50:21	03.03.15	1	4.2
045	13:51:39	03.03.15	1	4.3
029	13:52:40	03.03.15	1	3.0
027	13:53:28	03.03.15	1	4.9
031	13:55:59	03.03.15	1	4.6
019	13:57:36	03.03.15	1	0.7
025	13:57:48	03.03.15	1	4.8
033	13:59:10	03.03.15	1	3.5
020	14:00:07	03.03.15	1	1.0
024	14:01:16	03.03.15	1	4.3
022	14:01:18	03.03.15	1	3.9
029	14:01:33	03.03.15	1	4.9
024	14:03:23	03.03.15	1	4.0
024	14:03:25	03.03.15	1	5.0
032	14:04:56	03.03.15	1	3.7
029	14:06:32	03.03.15	1	4.0
023	14:07:32	03.03.15	1	3.6
030	14:08:40	03.03.15	1	4.3
029	14:08:42	03.03.15	1	4.4
029	14:09:14	03.03.15	1	3.9
025	14:09:29	03.03.15	1	4.5
033	14:10:32	03.03.15	1	4.8
029	14:11:35	03.03.15	1	3.9
029	14:11:48	03.03.15	1	4.3
032	14:12:53	03.03.15	1	3.7
032	14:13:10	03.03.15	1	3.1
030	14:13:12	03.03.15	1	4.1
029	14:15:09	03.03.15	1	3.6
021	14:15:51	03.03.15	1	4.5
029	14:16:02	03.03.15	1	3.2
027	14:17:04	03.03.15	1	4.6
034	14:17:59	03.03.15	1	4.2
031	14:18:02	03.03.15	1	3.4
041	14:18:30	03.03.15	1	5.4
026	14:19:12	03.03.15	1	4.5
027	14:19:14	03.03.15	1	4.4
011	14:20:20	03.03.15	1	0.9
018	14:20:30	03.03.15	1	3.2
027	14:24:12	03.03.15	1	3.7
023	14:24:39	03.03.15	1	3.5
031	14:28:34	03.03.15	1	5.7
021	14:30:06	03.03.15	1	0.8
037	14:33:31	03.03.15	1	4.6
018	14:34:53	03.03.15	1	1.5
031	14:37:40	03.03.15	1	4.2
035	14:39:35	03.03.15	1	5.4
031	14:40:07	03.03.15	1	4.9
031	14:40:11	03.03.15	1	4.3
